Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"THNG-84328 Berner B-Grip-Handschuhe Größe XL / 9","Berner B-Grip-Handschuhe Größe XL / 9","Berner Handschuhe B-Grip  Nahtlose Nylon mit Latexbeschichtung Gute Abriebfestigkeit (3) Ausgezeichneter Grip strukturierte Oberfläche  trocken und nass Optisch nicht so leicht von der Dunkelheit Umsetzung verunreinigt Guter Schutz gegen Feuchtigkeit und Kälte.  - Größe: XL / 9 - Farbe: Grau / Schwarz - Material: Latex  Technische Daten - Kategorie: 2 - Genehmigt: CE - Standard: EN 420  EN 388","Berner","Home & Garden","home and garden","Gartenhandschuhe, House,Garden",TRUE,,,,,,,"THNG-84328",,shopify,3,deny,manual,13.03,,TRUE,TRUE,4039286960254,https://images.foris.shop/producten/original/berner_handschoenen_b-grip_84327.jpg,1,,FALSE,"B-Grip-Handschuhe Größe XL / 9","Berner Handschuhe B-Grip  Nahtlose Nylon mit Latexbeschichtung Gute Abriebfestigkeit (3) Ausgezeichneter Grip strukturierte Oberfläche  trocken und nass Optisch nicht so leicht von der Dunkelheit Umsetzung verunreinigt Guter Schutz gegen Feuchtigkeit und Kälte.  - Größe: XL / 9 - Farbe: Grau / Schwarz - Material: Latex  Technische Daten - Kategorie: 2 - Genehmigt: CE - Standard: EN 420  EN 388","Gartenpflege",,,,,,,FALSE,,,,,,,,,,,,active
"THNG-182285 Dunlop USB Car Charger 12/24 Volt 1 Ampere Schwarz","Dunlop USB Car Charger 12/24 Volt 1 Ampere Schwarz","Dunlop - Autoladegerät  Mit dieser praktischen Auto-Ladegerät Magie Zigarettenanzünder im Handumdrehen in ein USB-Port. Bequem zu berechnen Telefone  Tablets oder eine Digitalkamera!  Spezifikationen: Farbe: Schwarz Material: Kunststoff Input: 12 oder 24 Volt Ausgang: 5V Laufend: 1 Amp Anzahl der USB-Ports: 1 Abmessungen: 6 x 3 x 2 cm (L x B x H)","Dunlop","Home & Garden","home and garden","Kfz-Ladegeräte, House,Garden",TRUE,,,,,,,"THNG-182285",,shopify,39,deny,manual,14.29,,TRUE,TRUE,8711252058337,https://images.foris.shop/producten/original/dunlop_autolader_usb_182285.jpg,1,,FALSE,"USB Car Charger 12/24 Volt 1 Ampere Schwarz","Dunlop - Autoladegerät  Mit dieser praktischen Auto-Ladegerät Magie Zigarettenanzünder im Handumdrehen in ein USB-Port. Bequem zu berechnen Telefone  Tablets oder eine Digitalkamera!  Spezifikationen: Farbe: Schwarz Material: Kunststoff Input: 12 oder 24 Volt Ausgang: 5V Laufend: 1 Amp Anzahl der USB-Ports: 1 Abmessungen: 6 x 3 x 2 cm (L x B x H)","Telefon & audio",,,,,,,FALSE,,,,,,,,,,,,active
"THNG-186440 Grundig wechselrichter 24-230V 300W 28 x 18 cm schwarz/grün","Grundig wechselrichter 24-230V 300W 28 x 18 cm schwarz/grün","Grundig wechselrichter  Mit diesem Wechselrichter haben Sie immer Grundig230 Volt in Ihrem Auto. Sie schließen ihn an den Zigarettenanzünder Ihres Autos an. Der Wechselrichter verfügt auch über einen USB-Anschluss an der Vorderseite  damit Sie Ihr Telefon oder Navigationssystem einfach aufladen können. Darüber hinaus ist sie gegen Überhitzung und Kurzschlüsse geschützt. Sie können den Wechselrichter auch mit dem mitgelieferten Kabel mit Batterieklemmen an die Batterie anschließen.  Spezifikationen: Farbe: schwarz  grün Material: Kunststoff  Aluminium Abmessungen: 28 x 18 x 8 cm (L x B x T) Eingangsspannung: +Volt Ausgangsspannung Steckdose: 230 Volt Ausgangsspannung USB-Anschluss: 5 Volt Maximale Leistung: 300 Watt  Zum Inhalt: 1 Wechselrichter 1 Kabel-Zigarettenanzünder 1 Kabel mit zwei Klemmen","Grundig","Home & Garden","home and garden","Kfz-Ladegeräte, House,Garden",TRUE,,,,,,,"THNG-186440",,shopify,3,deny,manual,63.68,,TRUE,TRUE,8711252469034,https://images.foris.shop/producten/original/grundig_omvormer_24-230v_300w_28_x_18_cm_zwart_groen_186440_20200902122427.jpg,1,,FALSE,"wechselrichter 24-230V 300W 28 x 18 cm schwarz/grün","Grundig wechselrichter  Mit diesem Wechselrichter haben Sie immer Grundig230 Volt in Ihrem Auto. Sie schließen ihn an den Zigarettenanzünder Ihres Autos an. Der Wechselrichter verfügt auch über einen USB-Anschluss an der Vorderseite  damit Sie Ihr Telefon oder Navigationssystem einfach aufladen können. Darüber hinaus ist sie gegen Überhitzung und Kurzschlüsse geschützt. Sie können den Wechselrichter auch mit dem mitgelieferten Kabel mit Batterieklemmen an die Batterie anschließen.  Spezifikationen: Farbe: schwarz  grün Material: Kunststoff  Aluminium Abmessungen: 28 x 18 x 8 cm (L x B x T) Eingangsspannung: +Volt Ausgangsspannung Steckdose: 230 Volt Ausgangsspannung USB-Anschluss: 5 Volt Maximale Leistung: 300 Watt  Zum Inhalt: 1 Wechselrichter 1 Kabel-Zigarettenanzünder 1 Kabel mit zwei Klemmen","Telefon & audio",,,,,,,FALSE,,,,,,,,,,,,active
"THNG-193819 Carpoint Mobile Felgen Baum mit Hacken t / m 18 Zoll 265 mm schwarz","Carpoint Mobile Felgen Baum mit Hacken t / m 18 Zoll 265 mm schwarz","Carpoint felgenbaum auf Rädern  Der Austausch der Reifen ist oft eine große Aufgabe. Wenn Sie die Reifen selbst lagern  wollen Sie vermeiden  dass die Felgen danach beschädigt werden. Mit dem Felgenbaum kannst du das Carpointverhindern. Der Felgenarm lässt sich schnell montieren und demontieren  und mit den Rädern können Sie ihn überall platzieren. Der Felgenarm ist für alle gängigen Felgen bis zu einer Reifenbreite von 265 mm geeignet.  Spezifikationen: Farbe: schwarz/silber Material: Aluminium/Kunststoff Maximale Gurtbreite: 265 mm Maximale Zollgröße: 18 Zoll Handy: ja Abmessungen 150 x 75 cm (LxB) Verpackungsgröße: 100 x 30 x 25 cm Gewicht: 8 5 kg  Inhalt: 1 Felgenbaum 1 Aufbewahrungstasche","Carpoint","Home & Garden","home and garden","Handwagen, House,Garden",TRUE,,,,,,,"THNG-193819",,shopify,6,deny,manual,93.30,,TRUE,TRUE,8711293086719,https://images.foris.shop/producten/original/carpoint_verrijdbare_velgenboom_met_hoes_193819.jpg,1,,FALSE,"Mobile Felgen Baum mit Hacken t / m 18 Zoll 265 mm schwarz","Carpoint felgenbaum auf Rädern  Der Austausch der Reifen ist oft eine große Aufgabe. Wenn Sie die Reifen selbst lagern  wollen Sie vermeiden  dass die Felgen danach beschädigt werden. Mit dem Felgenbaum kannst du das Carpointverhindern. Der Felgenarm lässt sich schnell montieren und demontieren  und mit den Rädern können Sie ihn überall platzieren. Der Felgenarm ist für alle gängigen Felgen bis zu einer Reifenbreite von 265 mm geeignet.  Spezifikationen: Farbe: schwarz/silber Material: Aluminium/Kunststoff Maximale Gurtbreite: 265 mm Maximale Zollgröße: 18 Zoll Handy: ja Abmessungen 150 x 75 cm (LxB) Verpackungsgröße: 100 x 30 x 25 cm Gewicht: 8 5 kg  Inhalt: 1 Felgenbaum 1 Aufbewahrungstasche","Arbeitsplatz",,,,,,,FALSE,,,,,,,,,,,,active
"THNG-194424 Carpoint Teleskopischen Verlängerungsstange 1-2 m mit Leitungswasser","Carpoint Teleskopischen Verlängerungsstange 1-2 m mit Leitungswasser","Carpoint Teleskopverlängerungsstange  Diese Erweiterung besteht aus zwei Teilen 100 cm Sie zusammen müssen zu schrauben. Er verfügt über eine praktische Wasserhahn  so dass Sie leicht die Wasserversorgung steuern. Zusätzlich weist der Schaft gummiert. Der Stamm kann als 100 cm verwendet werden und ist 200 cm. Passend für jeden Gartenschlauch.  Spezifikationen: Maße: 100-200 cm Material: Gummi  Stahl Kupplung: Gardena Gewinde: M12 Farbe: silber  schwarz Verwendung als 100 cm und 200 cm  wie","Carpoint","Home & Garden","home and garden","Gartenbrausen und Spritzdüsen, House,Garden",TRUE,,,,,,,"THNG-194424",,shopify,1,deny,manual,37.41,,TRUE,TRUE,8715963000722,https://images.foris.shop/producten/original/carpoint_telescopische_verlengsteel_1-2_m_met_waterkraan_194424.jpg,1,,FALSE,"Teleskopischen Verlängerungsstange 1-2 m mit Leitungswasser","Carpoint Teleskopverlängerungsstange  Diese Erweiterung besteht aus zwei Teilen 100 cm Sie zusammen müssen zu schrauben. Er verfügt über eine praktische Wasserhahn  so dass Sie leicht die Wasserversorgung steuern. Zusätzlich weist der Schaft gummiert. Der Stamm kann als 100 cm verwendet werden und ist 200 cm. Passend für jeden Gartenschlauch.  Spezifikationen: Maße: 100-200 cm Material: Gummi  Stahl Kupplung: Gardena Gewinde: M12 Farbe: silber  schwarz Verwendung als 100 cm und 200 cm  wie","Gartenpflege",,,,,,,FALSE,,,,,,,,,,,,active
"THNG-200599 Canterbury Vliesdecke Cozy 150 x 130 cm grau","Canterbury Vliesdecke Cozy 150 x 130 cm grau","Canterbury Cozy Fleece - Decke  Kuscheln im Gange diese Fleece - Decke Canterbury . Es ist geeignet für Spätsommernächte  wenn die kalten Wintermonate. Es hat Ecken und keine Fusseln abgerundet.  Spezifikationen: Farbe: Grau Geschlecht: Unisex Material: Vlies Größe: 150 x 130 cm","Canterbury","Home & Garden","home and garden","Plaids, House,Garden",TRUE,,,,,,,"THNG-200599",,shopify,1,deny,manual,20.79,,TRUE,TRUE,8716404309473,https://images.foris.shop/producten/original/canterbury_fleece-deken_cozy_150_x_130_cm_grijs_200599.jpg,1,,FALSE,"Vliesdecke Cozy 150 x 130 cm grau","Canterbury Cozy Fleece - Decke  Kuscheln im Gange diese Fleece - Decke Canterbury . Es ist geeignet für Spätsommernächte  wenn die kalten Wintermonate. Es hat Ecken und keine Fusseln abgerundet.  Spezifikationen: Farbe: Grau Geschlecht: Unisex Material: Vlies Größe: 150 x 130 cm","Camping Möbel",,,,,,,FALSE,,,,,,,,,,,,active
"THNG-204540 Carpoint Löschdecke 1 x 1 Meter Fiberglas rot","Carpoint Löschdecke 1 x 1 Meter Fiberglas rot","Carpoint Decke  Ausbrechen Feuer in kürzester Zeit mit dieser erstickten Carpoint Decke aus Fiberglas. Diese Decke trifft den EN1869-Standard.  Spezifikationen: Farbe: Rot Material: Fiberglas Zertifizierung: EN1869 Abmessungen: 1 x 1 m (LxB)","Carpoint","Home & Garden","home and garden","Feuerlöschdecken, House,Garden",TRUE,,,,,,,"THNG-204540",,shopify,10,deny,manual,21.94,,TRUE,TRUE,8711293072538,https://images.foris.shop/producten/original/carpoint_blusdeken_1_x_1_meter_fiberglas_rood_204540.jpg,1,,FALSE,"Löschdecke 1 x 1 Meter Fiberglas rot","Carpoint Decke  Ausbrechen Feuer in kürzester Zeit mit dieser erstickten Carpoint Decke aus Fiberglas. Diese Decke trifft den EN1869-Standard.  Spezifikationen: Farbe: Rot Material: Fiberglas Zertifizierung: EN1869 Abmessungen: 1 x 1 m (LxB)","Sicherheit",,,,,,,FALSE,,,,,,,,,,,,active
"THNG-204567 Carpoint feuerlöscher AB mit Manometer Schaum 2 L rot 25 cm","Carpoint feuerlöscher AB mit Manometer Schaum 2 L rot 25 cm","Carpoint feuerlöschgerät AB  Dieser Feuerlöscher eignet sich besonders für Brände in Autos  Booten und Wohnwagen  aber auch in Schuppen  Abstellräumen oder Studentenzimmern. Dieser Feuerlöscher mit Manometer ist ein vollständig EN3-zertifiziertes Produkt und wird mit einer praktischen Halterung geliefert.  Spezifikationen: Farbe: rot Material: Aluminium  Kunststoff Zertifizierung: EN3 Durchmesser: 13 cm Länge: 25 cm Fassungsvermögen: 2 Liter Gewicht: 2 8 kg","Carpoint","Home & Garden","home and garden","Feuerlöschgeräte, House,Garden",TRUE,,,,,,,"THNG-204567",,shopify,3,deny,manual,52.30,,TRUE,TRUE,8711293080779,https://images.foris.shop/producten/original/carpoint_brandblusser_abf_met_manometer_schuim_2_l_rood_25_cm_204567.jpg,1,,FALSE,"feuerlöscher AB mit Manometer Schaum 2 L rot 25 cm","Carpoint feuerlöschgerät AB  Dieser Feuerlöscher eignet sich besonders für Brände in Autos  Booten und Wohnwagen  aber auch in Schuppen  Abstellräumen oder Studentenzimmern. Dieser Feuerlöscher mit Manometer ist ein vollständig EN3-zertifiziertes Produkt und wird mit einer praktischen Halterung geliefert.  Spezifikationen: Farbe: rot Material: Aluminium  Kunststoff Zertifizierung: EN3 Durchmesser: 13 cm Länge: 25 cm Fassungsvermögen: 2 Liter Gewicht: 2 8 kg","Sicherheit",,,,,,,FALSE,,,,,,,,,,,,active
"THNG-207164 Rhombus Wind Molentje Marienkäfer 73 cm","Rhombus Wind Molentje Marienkäfer 73 cm","Rhombus Windmühle Marienkäfer  Fröhlich Garten oder der Strand mit diesem bunten Windschutz in Form eines Marienkäfers. Die Mühle ist sehr robust und einfach zu montieren.  Spezifikationen: Geschlecht: junior Stick Material: Kunststoff Material Windmühle: Textilien Stiellänge: 73 cm Windmühle Durchmesser: 48 cm Farbe: Mehrfarben Verpackt in Kunststoffbeuteln mit Kopfkarte.","Rhombus","Home & Garden","home and garden","Gartenstecker, House,Garden",TRUE,,,,,,,"THNG-207164",,shopify,16,deny,manual,16.54,,TRUE,TRUE,8712051213125,https://images.foris.shop/producten/original/rhombus_windmolentje_lieveheersbeestje_73_cm_207164.jpg,1,,FALSE,"Wind Molentje Marienkäfer 73 cm","Rhombus Windmühle Marienkäfer  Fröhlich Garten oder der Strand mit diesem bunten Windschutz in Form eines Marienkäfers. Die Mühle ist sehr robust und einfach zu montieren.  Spezifikationen: Geschlecht: junior Stick Material: Kunststoff Material Windmühle: Textilien Stiellänge: 73 cm Windmühle Durchmesser: 48 cm Farbe: Mehrfarben Verpackt in Kunststoffbeuteln mit Kopfkarte.","Garteneinrichtung",,,,,,,FALSE,,,,,,,,,,,,active
"THNG-212062 VDM Gartenlampe Solar RVS 70 cm Chrom","VDM Gartenlampe Solar RVS 70 cm Chrom","VDM Gartenlampe Solar  Bringen Sie mit dieser Gartenlampe Atmosphäre in Ihren Garten. Die Lampe arbeitet mit Solarenergie und ist mit einem Ein-Aus-Schalter ausgestattet. Sie pint es einfach an jedem Ort im Garten in den Boden. Die Gartenlampe hat eine Länge von 70 cm und ist aus Edelstahl gefertigt  damit sie bei jedem Wetter draußen bleiben kann.  Spezifikationen: Farbe: Chrom Material: Edelstahl Länge Gartenlampe: 70 cm Durchmesser Gartenlampe: 3 cm","VDM","Home & Garden","home and garden","Wegeleuchte, House,Garden",TRUE,,,,,,,"THNG-212062",,shopify,1,deny,manual,13.37,,TRUE,TRUE,8719202524383,https://images.foris.shop/producten/original/amigo_tuinlamp_solar_rvs_70_cm_chroom_212062.jpg,1,,FALSE,"Gartenlampe Solar RVS 70 cm Chrom","VDM Gartenlampe Solar  Bringen Sie mit dieser Gartenlampe Atmosphäre in Ihren Garten. Die Lampe arbeitet mit Solarenergie und ist mit einem Ein-Aus-Schalter ausgestattet. Sie pint es einfach an jedem Ort im Garten in den Boden. Die Gartenlampe hat eine Länge von 70 cm und ist aus Edelstahl gefertigt  damit sie bei jedem Wetter draußen bleiben kann.  Spezifikationen: Farbe: Chrom Material: Edelstahl Länge Gartenlampe: 70 cm Durchmesser Gartenlampe: 3 cm","Gartenbeleuchtung",,,,,,,FALSE,,,,,,,,,,,,active
