Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"TOUT-9573 EJIMM regenschirm 115 cm Polyester schwarz","EJIMM regenschirm 115 cm Polyester schwarz","Non-Branded regenschirm  Dieser Schirm hat acht Bahnen und ist recht groß. Dieser Regenschirm ist ideal für schlechtes Wetter. Legen Sie ihn notfalls in Ihr Auto  damit Sie ihn bei Regen mitnehmen können.  Farbe: schwarz Geschlecht: unisex Material Leinwand: Polyester Rahmenmaterial: Stahl Abmessungen: 115 cm","EJIMM","Sporting Goods > Outdoor Recreation","outdoor","Regenschirme, Outdoor",TRUE,,,,,,,"TOUT-9573",,shopify,5,deny,manual,17.34,,TRUE,TRUE,8717344993753,https://images.foris.shop/producten/original/amigo_paraplu_115cm_zwart_9573.jpg,1,,FALSE,"regenschirm 115 cm Polyester schwarz","Non-Branded regenschirm  Dieser Schirm hat acht Bahnen und ist recht groß. Dieser Regenschirm ist ideal für schlechtes Wetter. Legen Sie ihn notfalls in Ihr Auto  damit Sie ihn bei Regen mitnehmen können.  Farbe: schwarz Geschlecht: unisex Material Leinwand: Polyester Rahmenmaterial: Stahl Abmessungen: 115 cm","Regenkleidung",,,,,,,FALSE,,,,,,,,,,,,active
"TOUT-75039 Mirage Rainfall Luxury Hosen Regen Unisex schwarz Größe M","Mirage Rainfall Luxury Hosen Regen Unisex schwarz Größe M","Mirage Regen Herbst Luxus regen Hose  Farbe: schwarz Größe: M  - 100% wasserdicht und winddicht - Fester Gummizug - Hosen zum nkie geführt - Seine verschweißte Nähte - Fronttaschen - Bodenrohr mit Reißverschluss  Beinlänge: 113 cm","Mirage","Sporting Goods > Outdoor Recreation","outdoor","Regenhose, Outdoor",TRUE,,,,,,,"TOUT-75039",,shopify,9,deny,manual,31.72,,TRUE,TRUE,8717729488522,https://images.foris.shop/producten/original/mirage_rainfall_luxury_regenbroek_unisex_zwart_75039_20190115141316.jpg,1,,FALSE,"Rainfall Luxury Hosen Regen Unisex schwarz Größe M","Mirage Regen Herbst Luxus regen Hose  Farbe: schwarz Größe: M  - 100% wasserdicht und winddicht - Fester Gummizug - Hosen zum nkie geführt - Seine verschweißte Nähte - Fronttaschen - Bodenrohr mit Reißverschluss  Beinlänge: 113 cm","Regenkleidung",,,,,,,FALSE,,,,,,,,,,,,active
"TOUT-95458 Abbey Walking Adjustable 63-135 cm Schwarz / Blau 1 Stück","Abbey Walking Adjustable 63-135 cm Schwarz / Blau 1 Stück","Abbey cane einstellbar.  Eigenschaften: - Einstellbare Rohr: 63-135 cm - Mit Anti-Schock-Federn - Eigenschaften Verdrehsicherung - Mit anatomischen Griff - Inklusive Schneeteller - Farbe: Schwarz mit blauen  Material: - Aluminium Punkt - Stahl in Gummihalter - Gummigriff - PP-Band - Gummischneeteller  HINWEIS! Sie erhalten eine Spazierstock!","Abbey","Sporting Goods > Outdoor Recreation","outdoor","Nordic Walking Stöcker, Outdoor",TRUE,,,,,,,"TOUT-95458",,shopify,2,deny,manual,24.24,,TRUE,TRUE,8716404276287,https://images.foris.shop/producten/original/abbey_wandelstok_verstelbaar_63-135_cm_zwart_blauw_1_stuk_95458.jpg,1,,FALSE,"Walking Adjustable 63-135 cm Schwarz / Blau 1 Stück","Abbey cane einstellbar.  Eigenschaften: - Einstellbare Rohr: 63-135 cm - Mit Anti-Schock-Federn - Eigenschaften Verdrehsicherung - Mit anatomischen Griff - Inklusive Schneeteller - Farbe: Schwarz mit blauen  Material: - Aluminium Punkt - Stahl in Gummihalter - Gummigriff - PP-Band - Gummischneeteller  HINWEIS! Sie erhalten eine Spazierstock!","Gehen",,,,,,,FALSE,,,,,,,,,,,,active
"TOUT-95578 Lacoste Mens Bradford braun Größe 44","Lacoste Mens Bradford braun Größe 44","Lacoste Schuhe.  Chic Spitze von Lacoste . - Gummisohle - Schnürung - Brown - Das Äußere der Zunge des Schuhs einfach auswechseln. Dieser Schuh verfügt sowohl über ein gelber als brauner Zunge.  Material: Richtfest: Leder Futter: Leder und Synthetik Sohle: Gummi Größe 44","Lacoste","Sporting Goods > Outdoor Recreation","outdoor","Pantoffeln, Outdoor",TRUE,,,,,,,"TOUT-95578",,shopify,1,deny,manual,75.99,,TRUE,TRUE,8718807453722,https://images.foris.shop/producten/original/lacoste_herenschoenen_bradford_bruin_95572.jpg,1,,FALSE,"Mens Bradford braun Größe 44","Lacoste Schuhe.  Chic Spitze von Lacoste . - Gummisohle - Schnürung - Brown - Das Äußere der Zunge des Schuhs einfach auswechseln. Dieser Schuh verfügt sowohl über ein gelber als brauner Zunge.  Material: Richtfest: Leder Futter: Leder und Synthetik Sohle: Gummi Größe 44","Schuhe",,,,,,,FALSE,,,,,,,,,,,,active
"TOUT-96223 Abbey Endstop Nordic Walking Stöcke schwarz 2 Stück","Abbey Endstop Nordic Walking Stöcke schwarz 2 Stück","Abbey endstopps Nordic Walking Stöcke  Diese Gummistopfen sind für Nordic Walking Stöcke mit der Artikelnummer 21SR geeignet.  Spezifikationen: Material: TPR Abmessungen: 5 4 x 3 2 cm Innendurchmesser: 1 1 cm Farbe: schwarz Schuhförmig Wird pro 2 Stück geliefert.","Abbey","Sporting Goods > Outdoor Recreation","outdoor","Nordic Walking Stöcker, Outdoor",TRUE,,,,,,,"TOUT-96223",,shopify,8,deny,manual,10.44,,TRUE,TRUE,8716404109295,https://images.foris.shop/producten/original/abbey_eindstop_nordic_walking_stokken_zwart_2_stuks_96223_20181210100445.jpg,1,,FALSE,"Endstop Nordic Walking Stöcke schwarz 2 Stück","Abbey endstopps Nordic Walking Stöcke  Diese Gummistopfen sind für Nordic Walking Stöcke mit der Artikelnummer 21SR geeignet.  Spezifikationen: Material: TPR Abmessungen: 5 4 x 3 2 cm Innendurchmesser: 1 1 cm Farbe: schwarz Schuhförmig Wird pro 2 Stück geliefert.","Gehen",,,,,,,FALSE,,,,,,,,,,,,active
"TOUT-96228 Abbey aluminium Nordic Walking Stöcke verstellbar silber","Abbey aluminium Nordic Walking Stöcke verstellbar silber","Abbey Nordic Walking Stöcke  Ein zweiteiliger  teleskopisch verstellbarer Gehstock mit Drehverschluss.  Spezifikationen Stabmaterial: Aluminium (Dicke 0 8 mm) Griffmaterial: Kunststoff mit Kork Längenverstellbar von 86 bis 140 cm. Farbe: silbergrau/schwarz/blau/blau Ausgestattet mit einer Stahlspitze mit Gummistopfen. Schuhförmiger TPR Nordic Fitness-Endanschlag. Gepolstertes Armband mit Klettverschluss.","Abbey","Sporting Goods > Outdoor Recreation","outdoor","Nordic Walking Stöcker, Outdoor",TRUE,,,,,,,"TOUT-96228",,shopify,10,deny,manual,35.74,,TRUE,TRUE,8716404241933,https://images.foris.shop/producten/original/abbey_wandelstok_nordic_walking_verstelbaar_aluminium_zilver_96228_20181210100929.jpg,1,,FALSE,"aluminium Nordic Walking Stöcke verstellbar silber","Abbey Nordic Walking Stöcke  Ein zweiteiliger  teleskopisch verstellbarer Gehstock mit Drehverschluss.  Spezifikationen Stabmaterial: Aluminium (Dicke 0 8 mm) Griffmaterial: Kunststoff mit Kork Längenverstellbar von 86 bis 140 cm. Farbe: silbergrau/schwarz/blau/blau Ausgestattet mit einer Stahlspitze mit Gummistopfen. Schuhförmiger TPR Nordic Fitness-Endanschlag. Gepolstertes Armband mit Klettverschluss.","Gehen",,,,,,,FALSE,,,,,,,,,,,,active
"TOUT-96502 Abbey Moskitonetz 2-Personen Polyester weiß","Abbey Moskitonetz 2-Personen Polyester weiß","Abbey Camp Moskitonetze.  2-Bett-Moskitonetze  mit Punktaufhängung Ring oben Material: - Net - 100% Polyester-Mesh - Frame - 100% Bambus- - Carrier - 100% Polyester Größe: 1260 cm Umfang unten Bambus-Rahmen: Durchmesser 65 cm Höhe 250 cm Farbe Weiß","Abbey","Sporting Goods > Outdoor Recreation","outdoor","Moskitonetze, Outdoor",TRUE,,,,,,,"TOUT-96502",,shopify,3,deny,manual,28.04,,TRUE,TRUE,8716404261252,https://images.foris.shop/producten/original/abbey_muskietennet_2persoons_96502.jpg,1,,FALSE,"Moskitonetz 2-Personen Polyester weiß","Abbey Camp Moskitonetze.  2-Bett-Moskitonetze  mit Punktaufhängung Ring oben Material: - Net - 100% Polyester-Mesh - Frame - 100% Bambus- - Carrier - 100% Polyester Größe: 1260 cm Umfang unten Bambus-Rahmen: Durchmesser 65 cm Höhe 250 cm Farbe Weiß","Schlafen",,,,,,,FALSE,,,,,,,,,,,,active
"TOUT-97754 Ralka Regen Hosen Junior Unisex Black Size 140","Ralka Regen Hosen Junior Unisex Black Size 140","Regenhose Junior unisex schwarz Größe 140  Die Unterseite des Beins verfügt über einen dreieckigen Einsatz für leichteren Einstieg  elastische Taille und Beine. Auch  stellen Sie die oben mit Riemen mit Klettverschluss mit Reflexion. Das Rohrende wird mit einem schoenkap vorgesehen.  Material: 100% Polyester Farbe Schwarz Größe: 140","Ralka","Sporting Goods > Outdoor Recreation","outdoor","Regenhose, Outdoor",TRUE,,,,,,,"TOUT-97754",,shopify,1,deny,manual,21.14,,TRUE,TRUE,8716404249816,https://images.foris.shop/producten/original/ralka_regenbroek_junior_unisex_zwart_97754_20190115141729.jpg,1,,FALSE,"Regen Hosen Junior Unisex Black Size 140","Regenhose Junior unisex schwarz Größe 140  Die Unterseite des Beins verfügt über einen dreieckigen Einsatz für leichteren Einstieg  elastische Taille und Beine. Auch  stellen Sie die oben mit Riemen mit Klettverschluss mit Reflexion. Das Rohrende wird mit einem schoenkap vorgesehen.  Material: 100% Polyester Farbe Schwarz Größe: 140","Regenkleidung",,,,,,,FALSE,,,,,,,,,,,,active
"TOUT-97757 Ralka Regen Hosen Junior Unisex Black Size 152","Ralka Regen Hosen Junior Unisex Black Size 152","Regenhose Junior unisex schwarz Größe 152  Die Unterseite des Beins verfügt über einen dreieckigen Einsatz für leichteren Einstieg  elastische Taille und Beine. Auch  stellen Sie die oben mit Riemen mit Klettverschluss mit Reflexion. Das Rohrende wird mit einem schoenkap vorgesehen.  Material: 100% Polyester Farbe Schwarz Größe: 152","Ralka","Sporting Goods > Outdoor Recreation","outdoor","Regenhose, Outdoor",TRUE,,,,,,,"TOUT-97757",,shopify,3,deny,manual,21.14,,TRUE,TRUE,8716404249823,https://images.foris.shop/producten/original/ralka_regenbroek_junior_unisex_zwart_97757_20190115141800.jpg,1,,FALSE,"Regen Hosen Junior Unisex Black Size 152","Regenhose Junior unisex schwarz Größe 152  Die Unterseite des Beins verfügt über einen dreieckigen Einsatz für leichteren Einstieg  elastische Taille und Beine. Auch  stellen Sie die oben mit Riemen mit Klettverschluss mit Reflexion. Das Rohrende wird mit einem schoenkap vorgesehen.  Material: 100% Polyester Farbe Schwarz Größe: 152","Regenkleidung",,,,,,,FALSE,,,,,,,,,,,,active
"TOUT-97859 Ralka Regenjacke Deluxe Damen-lange Modell dunkelblau Größe 40","Ralka Regenjacke Deluxe Damen-lange Modell dunkelblau Größe 40","Ralka langen Regenmantel deluxe Modell Damen navy Größe 40  Diese Einbau langen Regenmantel Modell hat einen Reißverschluss mit breitem Durch  Kapuze im Kragen und elastische Schnur mit Stopper in der Kapuze.  Auf der Rückseite sind Taschen mit Reißverschluss mit Abdeckung  die Bündchen mittels Band mit Klettverschluß verstellbar.  Polyester  Mesh- Farbe: Weiß Mantellänge: 84 cm Größe: 40","Ralka","Sporting Goods > Outdoor Recreation","outdoor","Regen Mäntel, Outdoor",TRUE,,,,,,,"TOUT-97859",,shopify,1,deny,manual,39.82,,TRUE,TRUE,8716404253011,https://images.foris.shop/producten/original/ralka_regenjas_deluxe_lang_model_dames_marine_97859.jpg,1,,FALSE,"Regenjacke Deluxe Damen-lange Modell dunkelblau Größe 40","Ralka langen Regenmantel deluxe Modell Damen navy Größe 40  Diese Einbau langen Regenmantel Modell hat einen Reißverschluss mit breitem Durch  Kapuze im Kragen und elastische Schnur mit Stopper in der Kapuze.  Auf der Rückseite sind Taschen mit Reißverschluss mit Abdeckung  die Bündchen mittels Band mit Klettverschluß verstellbar.  Polyester  Mesh- Farbe: Weiß Mantellänge: 84 cm Größe: 40","Regenkleidung",,,,,,,FALSE,,,,,,,,,,,,active
