Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"BIKEBIZZ-RB010 Royal Bugatti Royal Bugatti Tornado 20' weiß schwarz RB 010","Royal Bugatti Royal Bugatti Tornado 20' weiß schwarz RB 010","BMX Freestyle / Crossrad Bugatti,<br/><br/>20 Zoll Räder, 48 Speichen,<br/><br/>4 Heringe,<br/><br/>Lenker um 360 Grad drehbar, gute Bremsen, robuster Rahmen, aluminiumverstärkte Felgen, aluminiumverstärkte Naben, dicke Achsen, A-Head-Lenker, Freestyle-Rahmen.","Royal Bugatti","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Bicycle","Sporting Goods > Outdoor Recreation > Cycling > Bicycles",TRUE,,,,,,,"BIKEBIZZ-RB010",,shopify,3.000000,deny,manual,324.93,,TRUE,TRUE,,https://www.bikebizz.nl/wp-content/uploads/2019/07/12-140724-213642.jpg,1,,FALSE,"Royal Bugatti Royal Bugatti Tornado 20' weiß schwarz RB 010","BMX Freestyle / Crossrad Bugatti,<br/><br/>20 Zoll Räder, 48 Speichen,<br/><br/>4 Heringe,<br/><br/>Lenker um 360 Grad drehbar, gute Bremsen, robuster Rahmen, aluminiumverstärkte Felgen, aluminiumverstärkte Naben, dicke Achsen, A-Head-Lenker, Freestyle-Rahmen.","Bicycle",,,,,,,FALSE,,,,,,,,,,,,active
"BIKEBIZZ-RB018 Royal Bugatti Royal Bugatti Tornado Schwarz / Grün","Royal Bugatti Royal Bugatti Tornado Schwarz / Grün","BMX Freestyle / Crossrad Bugatti,<br/><br/>20 Zoll Räder,<br/><br/>48 sprachen,<br/><br/>4 Fußrasten, Lenkrad 360 Grad drehbar, gute Bremsen, robuster Rahmen, aluminiumverstärkte Felgen, aluminiumverstärkte Naben, fette Achsen, A-Head-Lenker, Freestyle-Rahmen.","Royal Bugatti","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Bicycle","Sporting Goods > Outdoor Recreation > Cycling > Bicycles",TRUE,,,,,,,"BIKEBIZZ-RB018",,shopify,2,deny,manual,324.93,,TRUE,TRUE,8716637017879,https://www.bikebizz.nl/wp-content/uploads/2019/07/12-140728-110339.jpg,1,,FALSE,"Royal Bugatti Royal Bugatti Tornado Schwarz / Grün","BMX Freestyle / Crossrad Bugatti,<br/><br/>20 Zoll Räder,<br/><br/>48 sprachen,<br/><br/>4 Fußrasten, Lenkrad 360 Grad drehbar, gute Bremsen, robuster Rahmen, aluminiumverstärkte Felgen, aluminiumverstärkte Naben, fette Achsen, A-Head-Lenker, Freestyle-Rahmen.","Bicycle",,,,,,,FALSE,,,,,,,,,,,,active
"BIKEBIZZ-TO157 Royal Bugatti Tornado BMX 16 Zoll mattschwarz","Royal Bugatti Tornado BMX 16 Zoll mattschwarz","BMX Freestyle / Crossrad Bugatti Tornado, 16 Zoll Laufräder, 36 Speichen, gute Bremsen + Rücktrittbremse, robuster Rahmen, aluminiumverstärkte Felgen, aluminiumverstärkte Naben, dicke Achsen, Freestyle-Rahmen.","Royal Bugatti","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Bicycle","Sporting Goods > Outdoor Recreation > Cycling > Bicycles",TRUE,,,,,,,"BIKEBIZZ-TO157",,shopify,2,deny,manual,261.28,,TRUE,TRUE,7435115734770,https://www.bikebizz.nl/wp-content/uploads/2019/07/12-150928-132555.jpg,1,,FALSE,"Royal Bugatti Tornado BMX 16 Zoll mattschwarz","BMX Freestyle / Crossrad Bugatti Tornado, 16 Zoll Laufräder, 36 Speichen, gute Bremsen + Rücktrittbremse, robuster Rahmen, aluminiumverstärkte Felgen, aluminiumverstärkte Naben, dicke Achsen, Freestyle-Rahmen.","Bicycle",,,,,,,FALSE,,,,,,,,,,,,active
"BIKEBIZZ-COSM 12 Rock Machine Rock Machine Cosmic ( cosm12) Limette / Blau 12 '","Rock Machine Rock Machine Cosmic ( cosm12) Limette / Blau 12 '","Das Rock Machine Cosmic 12 Kinderfahrrad ist ein zuverlässiges und attraktives Fahrrad für Kinder.<br/><br/>Der Velo VL-5073 Sattel hat ein besonders komfortables Klassendesign.<br/><br/>Das GW Steel 28T System hält erheblichen Belastungen stand und ist optimal für intensives Skaten. Die Laufräder sind mit Impac Streetpack 12x2.00 Reifen bestückt - zuverlässig und nahezu 'untötbar'. Das Fahrrad ist mit einem hinteren X-Schalter ausgestattet, der hilft, die Geschwindigkeit anzupassen.","Rock Machine","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Bicycle","Sporting Goods > Outdoor Recreation > Cycling > Bicycles",TRUE,,,,,,,"BIKEBIZZ-COSM 12",,shopify,4,deny,manual,193.45,,TRUE,TRUE,9509820000000,https://www.bikebizz.nl/wp-content/uploads/2020/01/Cosmic-12.jpg,1,,FALSE,"Rock Machine Rock Machine Cosmic ( cosm12) Limette / Blau 12 '","Das Rock Machine Cosmic 12 Kinderfahrrad ist ein zuverlässiges und attraktives Fahrrad für Kinder.<br/><br/>Der Velo VL-5073 Sattel hat ein besonders komfortables Klassendesign.<br/><br/>Das GW Steel 28T System hält erheblichen Belastungen stand und ist optimal für intensives Skaten. Die Laufräder sind mit Impac Streetpack 12x2.00 Reifen bestückt - zuverlässig und nahezu 'untötbar'. Das Fahrrad ist mit einem hinteren X-Schalter ausgestattet, der hilft, die Geschwindigkeit anzupassen.","Bicycle",,,,,,,FALSE,,,,,,,,,,,,active
"BIKEBIZZ-TO160 BMX Tornado BMX 16' Ferrari Rot","BMX Tornado BMX 16' Ferrari Rot","","BMX","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Bicycle","Sporting Goods > Outdoor Recreation > Cycling > Bicycles",TRUE,,,,,,,"BIKEBIZZ-TO160",,shopify,3,deny,manual,230.68,,TRUE,TRUE,7435115734787,https://www.bikebizz.nl/wp-content/uploads/2019/07/12-140731-195349.jpg,1,,FALSE,"BMX Tornado BMX 16' Ferrari Rot","","Bicycle",,,,,,,FALSE,,,,,,,,,,,,active
"BIKEBIZZ-TO161 Royal Bugatti Tornado BMX 16 Zoll Gletscherblau","Royal Bugatti Tornado BMX 16 Zoll Gletscherblau","BMX Freestyle / Crossrad Bugatti Tornado, 16 Zoll Laufräder, 36 Speichen, gute Bremsen + Rücktrittbremse, robuster Rahmen, aluminiumverstärkte Felgen, aluminiumverstärkte Naben, dicke Achsen, Freestyle-Rahmen.","Royal Bugatti","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Bicycle","Sporting Goods > Outdoor Recreation > Cycling > Bicycles",TRUE,,,,,,,"BIKEBIZZ-TO161",,shopify,2,deny,manual,261.28,,TRUE,TRUE,7435115734794,https://www.bikebizz.nl/wp-content/uploads/2019/07/12-140731-195625.jpg,1,,FALSE,"Royal Bugatti Tornado BMX 16 Zoll Gletscherblau","BMX Freestyle / Crossrad Bugatti Tornado, 16 Zoll Laufräder, 36 Speichen, gute Bremsen + Rücktrittbremse, robuster Rahmen, aluminiumverstärkte Felgen, aluminiumverstärkte Naben, dicke Achsen, Freestyle-Rahmen.","Bicycle",,,,,,,FALSE,,,,,,,,,,,,active
"BIKEBIZZ-8718347836948  Z Opa 57cm Nexus 3 Restposten Export"," Z Opa 57cm Nexus 3 Restposten Export","Avalon Opa Export R3 H57cm. Farbe schwarz. Version Shimano R3/Bremsnabe. Lieferumfang: Cremeweiße Linienreifen, brauner Sattel und Griffe. Wird ohne Schloss und Transfers geliefert.","","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Bicycle","Sporting Goods > Outdoor Recreation > Cycling > Bicycles",TRUE,,,,,,,"BIKEBIZZ-8718347836948",,shopify,2,deny,manual,445.13,,TRUE,TRUE,8718347836948,https://www.bikebizz.nl/wp-content/uploads/2019/10/f531.jpg,1,,FALSE," Z Opa 57cm Nexus 3 Restposten Export","Avalon Opa Export R3 H57cm. Farbe schwarz. Version Shimano R3/Bremsnabe. Lieferumfang: Cremeweiße Linienreifen, brauner Sattel und Griffe. Wird ohne Schloss und Transfers geliefert.","Bicycle",,,,,,,FALSE,,,,,,,,,,,,active
"BIKEBIZZ-8718347837082 Avalon Style Herren R3 Alu Mattschwarz","Avalon Style Herren R3 Alu Mattschwarz","Avalon-Stil H58cm. Farbe: Mattschwarz. Ausführung: Shimano R3/Bremsnabe. Lieferumfang: Aluminiumrahmen, Rodi G13-Felgen, schwarze G13-Speichen, CST-Reifen, Hesling xcero-Kettenschutz, THUN-Tretlager und Kurbelgarnitur, Aluminium-Hinterradträger, Abus ART-Schloss, einschließlich Vorderradträger, Made in Holland.","Avalon","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Bicycle","Sporting Goods > Outdoor Recreation > Cycling > Bicycles",TRUE,,,,,,,"BIKEBIZZ-8718347837082",,shopify,5,deny,manual,549.78,,TRUE,TRUE,8718347837082,https://www.bikebizz.nl/wp-content/uploads/2019/10/F603.jpg,1,,FALSE,"Avalon Style Herren R3 Alu Mattschwarz","Avalon-Stil H58cm. Farbe: Mattschwarz. Ausführung: Shimano R3/Bremsnabe. Lieferumfang: Aluminiumrahmen, Rodi G13-Felgen, schwarze G13-Speichen, CST-Reifen, Hesling xcero-Kettenschutz, THUN-Tretlager und Kurbelgarnitur, Aluminium-Hinterradträger, Abus ART-Schloss, einschließlich Vorderradträger, Made in Holland.","Bicycle",,,,,,,FALSE,,,,,,,,,,,,active
"BIKEBIZZ-8718347837105 Avalon STYLE Damen N3 Alu Mattschwarz","Avalon STYLE Damen N3 Alu Mattschwarz","Avalon-Stil D54cm. Farbe schwarz. Ausführung: Shimano R3/Bremsnabe. Lieferumfang: Aluminiumrahmen, Rodi G13-Felgen, schwarze G13-Speichen, CST-Reifen, Hesling xcero-Kettenschutz, THUN-Tretlager und Kurbelgarnitur, Aluminium-Hinterradträger, Abus ART-Schloss, einschließlich Vorderradträger, Made in Holland.","Avalon","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Bicycle","Sporting Goods > Outdoor Recreation > Cycling > Bicycles",TRUE,,,,,,,"BIKEBIZZ-8718347837105",,shopify,2,deny,manual,549.78,,TRUE,TRUE,8718347837105,https://www.bikebizz.nl/wp-content/uploads/2019/10/F605.jpg,1,,FALSE,"Avalon STYLE Damen N3 Alu Mattschwarz","Avalon-Stil D54cm. Farbe schwarz. Ausführung: Shimano R3/Bremsnabe. Lieferumfang: Aluminiumrahmen, Rodi G13-Felgen, schwarze G13-Speichen, CST-Reifen, Hesling xcero-Kettenschutz, THUN-Tretlager und Kurbelgarnitur, Aluminium-Hinterradträger, Abus ART-Schloss, einschließlich Vorderradträger, Made in Holland.","Bicycle",,,,,,,FALSE,,,,,,,,,,,,active
"BIKEBIZZ-8718347837112  Cargo Heren Alu R3 matt-schwarz"," Cargo Heren Alu R3 matt-schwarz","Avalon Fracht H59cm. Farbe: Mattschwarz. Ausführung: Shimano R3/Bremsnabe. Lieferumfang: Aluminiumrahmen, Lenkschloss, Doppelstandard, Rodi G13-Felgen, schwarze G13-Speichen, CST Zeppelin 2.0-Reifen, Hesling-Kettenschutz, THUN-Innenlager und -Kurbelgarnitur, Aluminium-Frontträger und -Hinterradträger, ART-Schloss. Hergestellt in Holland","","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Bicycle","Sporting Goods > Outdoor Recreation > Cycling > Bicycles",TRUE,,,,,,,"BIKEBIZZ-8718347837112",,shopify,1,deny,manual,592.93,,TRUE,TRUE,8718347837112,https://www.bikebizz.nl/wp-content/uploads/2019/10/Cargo-HN3_mzwart.jpg,1,,FALSE," Cargo Heren Alu R3 matt-schwarz","Avalon Fracht H59cm. Farbe: Mattschwarz. Ausführung: Shimano R3/Bremsnabe. Lieferumfang: Aluminiumrahmen, Lenkschloss, Doppelstandard, Rodi G13-Felgen, schwarze G13-Speichen, CST Zeppelin 2.0-Reifen, Hesling-Kettenschutz, THUN-Innenlager und -Kurbelgarnitur, Aluminium-Frontträger und -Hinterradträger, ART-Schloss. Hergestellt in Holland","Bicycle",,,,,,,FALSE,,,,,,,,,,,,active
