Handle,Inventory
"kstc-126677-1280x800-acer-p1357wi-4500-lumen-dlp-16-10-vga-hdmi-composite-video-mhl-speaker-3d-wxga-white",17
"kstc-126835-1280x800-epson-eb-982w-3-lcd-4200-lumen-16-10-vga-hdmi-composite-video-speaker-wxga-white",1
"kstc-128252-1280x800-epson-eb-w06-3700-lumen-vga-hdmi-composite-video-speaker-wxga-white",1
"kstc-124154-1280x800-epson-eb-w51-lcd-portable-4000-lumen-16-10-vga-hdmi-usb-a-usb-b-speaker-white",8
"kstc-125512-1920x1080-acer-h6518sti-16-9-dlp-3500-lumen-usb-vga-composite-video-speaker-3d-full-hd-white",6
"kstc-124140-1920x1080-acer-h6541bdi-dlp-portable-4000-lumen-16-9-hdmi-vga-usb-a-3d-fhd-speaker-white",1
"kstc-125871-1920x1080-acer-p5535-dlp-4500-lumen-16-9-vga-hdmi-composite-video-mhl-3d-speaker-full-hd-white",13
"kstc-128091-1920x1080-epson-co-fh02-3000-lumen-16-9-hdmi-2xusb-speaker-white",10
"kstc-126700-1920x1080-epson-eb-992f-4000-lumen-3-lcd-16-9-2xhdmi-usb-a-usb-b-vga-speaker-full-hd-white",2
"kstc-125872-1920x1080-epson-eb-fh52-4000-lumen-16-9-vga-2xhdmi-usb-composite-video-speaker-full-hd-white",10
"kstc-122882-1920x1080-epson-ef-11-3-lcd-portable-1000-lumen-16-9-hdmi-usb2-0-typb-usb2-0-typa-speaker-full-hd-black-22-27db",3
"kstc-128276-1920x1080-epson-eh-tw5705-3d-lcd-2700-lumen-hdmi-usb2-0-bluetooth-speaker-white",3
"kstc-128384-1920x1080-optoma-hd146x-dlp-3600-lumen-hdmi-usb-a-speaker-3d-full-hd-black",5
"kstc-128486-1920x1080-optoma-hd28i-dlp-3d-16-9-4000-lumen-hdmi-vga-speaker-fullhd-white",4
"kstc-128485-1920x1080-optoma-zh406-dlp-3d-16-9-4500-lumen-hdmi-vga-speaker-fullhd-white",1
"kstc-128487-1920x1080-optoma-zh507-dlp-3d-16-9-5500-lumen-hdmi-vga-speaker-fullhd-white",2
"kstc-128594-1920x1080-viewsonic-ls610hdh-16-9-4000ansi-lumen-2xhdmi-lan-audio-usb-a-rs232-speaker-fullhd-white",5
"kstc-117796-1920x1200-epson-eb-2250u-16-10-5000-lumen-usb-vga-hdmi-wlan-white",6
