Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"ECOM-65808 Adapter Delock DisplayPort - DisplayPort (W)","Adapter Delock DisplayPort - DisplayPort (W)","Adapter Delock DisplayPort - DisplayPort (W)","Delock","Electronics","Adapter","Electronics,Adapter",TRUE,,,,,,,"ECOM-65808",,shopify,1,deny,manual,15.29,,TRUE,TRUE,4043619626380,https://www.nexoc-store.de/shop/media/image/18/b6/ef/65808_1_600x600..jpg,1,,FALSE,"Adapter Delock DisplayPort - DisplayPort (W)","Adapter Delock DisplayPort - DisplayPort (W)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-29076 Adapter DeLock DP zu VGA","Adapter DeLock DP zu VGA","Adapter DeLock DP zu VGA","Delock","Electronics","Adapter","Electronics,Adapter",TRUE,,,,,,,"ECOM-29076",,shopify,9,deny,manual,22.30,,TRUE,TRUE,4043619618484,https://www.nexoc-store.de/shop/media/image/22/10/c2/29076_0Zrxj2owFrfTi8_600x600.jpg,1,,FALSE,"Adapter DeLock DP zu VGA","Adapter DeLock DP zu VGA","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-39908 Adapter DELOCK DVI-I (M) zu VGA (W)","Adapter DELOCK DVI-I (M) zu VGA (W)","Adapter DELOCK DVI-I (M) zu VGA (W)","Delock","Electronics","Adapter","Electronics,Adapter",TRUE,,,,,,,"ECOM-39908",,shopify,6,deny,manual,14.18,,TRUE,TRUE,4043619650163,https://www.nexoc-store.de/shop/media/image/07/ae/1f/39908_0kgGXeovl8C4qp_600x600.jpg,1,,FALSE,"Adapter DELOCK DVI-I (M) zu VGA (W)","Adapter DELOCK DVI-I (M) zu VGA (W)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-40874 Adapter DeLock HDMI zu VGA","Adapter DeLock HDMI zu VGA","Adapter DeLock HDMI zu VGA","Delock","Electronics","Adapter","Electronics,Adapter",TRUE,,,,,,,"ECOM-40874",,shopify,4,deny,manual,22.30,,TRUE,TRUE,4043619654697,https://www.nexoc-store.de/shop/media/image/08/30/e6/40874_0PTYvN15u2IiqY_600x600.jpg,1,,FALSE,"Adapter DeLock HDMI zu VGA","Adapter DeLock HDMI zu VGA","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-33619 Adapter Delock mini-Displayport (M) to DVI-I (W)","Adapter Delock mini-Displayport (M) to DVI-I (W)","Adapter Delock mini-Displayport (M) to DVI-I (W)","Delock","Electronics","Adapter","Electronics,Adapter",TRUE,,,,,,,"ECOM-33619",,shopify,2,deny,manual,22.30,,TRUE,TRUE,4043619626038,https://www.nexoc-store.de/shop/media/image/ef/f2/3f/33619_0AXonEiLG05RJA_600x600.jpg,1,,FALSE,"Adapter Delock mini-Displayport (M) to DVI-I (W)","Adapter Delock mini-Displayport (M) to DVI-I (W)","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-51835 Adapter HDMI Adapter Delock A - DVI","Adapter HDMI Adapter Delock A - DVI","Adapter HDMI Adapter Delock A - DVI","Delock","Electronics","Adapter","Electronics,Adapter",TRUE,,,,,,,"ECOM-51835",,shopify,1,deny,manual,12.23,,TRUE,TRUE,4043619653270,https://www.nexoc-store.de/shop/media/image/00/70/97/51835_0Yo1PlVduabiKE_600x600.jpg,1,,FALSE,"Adapter HDMI Adapter Delock A - DVI","Adapter HDMI Adapter Delock A - DVI","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-57894 APC Back -UPS USV BE650G2-GR Wechselstrom 230V","APC Back -UPS USV BE650G2-GR Wechselstrom 230V","APC Back -UPS USV BE650G2-GR Wechselstrom 230V","APC","Electronics","Adapter","Electronics,Adapter",TRUE,,,,,,,"ECOM-57894",,shopify,6,deny,manual,117.38,,TRUE,TRUE,0731304347217,https://www.nexoc-store.de/shop/media/image/9a/c2/01/57894_0_600x600.jpg,1,,FALSE,"APC Back -UPS USV BE650G2-GR Wechselstrom 230V","APC Back -UPS USV BE650G2-GR Wechselstrom 230V","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-59962 APC Back-UPS BX1600MI  - USV - Wechselstrom 230 V","APC Back-UPS BX1600MI  - USV - Wechselstrom 230 V","APC Back-UPS BX1600MI  - USV - Wechselstrom 230 V","APC","Electronics","Adapter","Electronics,Adapter",TRUE,,,,,,,"ECOM-59962",,shopify,7,deny,manual,187.40,,TRUE,TRUE,0731304410829,https://www.nexoc-store.de/shop/media/image/b1/66/1f/59962_0_600x600.jpg,1,,FALSE,"APC Back-UPS BX1600MI  - USV - Wechselstrom 230 V","APC Back-UPS BX1600MI  - USV - Wechselstrom 230 V","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-47143 APC Back-UPS Pro 900 - USV BR900G-GR - Wechselstrom 230 V","APC Back-UPS Pro 900 - USV BR900G-GR - Wechselstrom 230 V","APC Back-UPS Pro 900 - USV BR900G-GR - Wechselstrom 230 V","APC","Electronics","Adapter","Electronics,Adapter",TRUE,,,,,,,"ECOM-47143",,shopify,7,deny,manual,278.42,,TRUE,TRUE,0731304286912,https://www.nexoc-store.de/shop/media/image/57/85/33/47143_0wlNIqDTvp8s7F_600x600.jpg,1,,FALSE,"APC Back-UPS Pro 900 - USV BR900G-GR - Wechselstrom 230 V","APC Back-UPS Pro 900 - USV BR900G-GR - Wechselstrom 230 V","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-58491 APC Easy UPS BV1000I - USV- Wechselstrom 230 V","APC Easy UPS BV1000I - USV- Wechselstrom 230 V","APC Easy UPS BV1000I - USV- Wechselstrom 230 V","APC","Electronics","Adapter","Electronics,Adapter",TRUE,,,,,,,"ECOM-58491",,shopify,3,deny,manual,113.56,,TRUE,TRUE,0731304338222,https://www.nexoc-store.de/shop/media/image/ce/73/11/58491_0_600x600.jpg,1,,FALSE,"APC Easy UPS BV1000I - USV- Wechselstrom 230 V","APC Easy UPS BV1000I - USV- Wechselstrom 230 V","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-51619 APC Easy UPS BV800I - USV- Wechelstrom 230 V","APC Easy UPS BV800I - USV- Wechelstrom 230 V","APC Easy UPS BV800I - USV- Wechelstrom 230 V","APC","Electronics","Adapter","Electronics,Adapter",TRUE,,,,,,,"ECOM-51619",,shopify,5,deny,manual,97.02,,TRUE,TRUE,0731304338345,https://www.nexoc-store.de/shop/media/image/85/f9/de/51619_0yikrVf5WGSF8p_600x600.jpg,1,,FALSE,"APC Easy UPS BV800I - USV- Wechelstrom 230 V","APC Easy UPS BV800I - USV- Wechelstrom 230 V","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-59960 APC Easy UPS BVX700LI-GR - USV - Wechselstrom 230 V","APC Easy UPS BVX700LI-GR - USV - Wechselstrom 230 V","APC Easy UPS BVX700LI-GR - USV - Wechselstrom 230 V","APC","Electronics","Adapter","Electronics,Adapter",TRUE,,,,,,,"ECOM-59960",,shopify,15,deny,manual,86.46,,TRUE,TRUE,0731304404583,https://www.nexoc-store.de/shop/media/image/e2/e5/b0/59960_0_600x600.jpg,1,,FALSE,"APC Easy UPS BVX700LI-GR - USV - Wechselstrom 230 V","APC Easy UPS BVX700LI-GR - USV - Wechselstrom 230 V","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"ECOM-61156 APC Easy UPS BVX900LI-GR - USV - Wechselstrom 220-240 V","APC Easy UPS BVX900LI-GR - USV - Wechselstrom 220-240 V","APC Easy UPS BVX900LI-GR - USV - Wechselstrom 220-240 V","APC","Electronics","Adapter","Electronics,Adapter",TRUE,,,,,,,"ECOM-61156",,shopify,6,deny,manual,111.02,,TRUE,TRUE,0731304404590,https://www.nexoc-store.de/shop/media/image/e0/87/57/61156_0_600x600.jpg,1,,FALSE,"APC Easy UPS BVX900LI-GR - USV - Wechselstrom 220-240 V","APC Easy UPS BVX900LI-GR - USV - Wechselstrom 220-240 V","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
