Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"KSTC-100447 STICK 16GB USB 2.0 Intenso Rainbow Line Transparent Black","STICK 16GB USB 2.0 Intenso Rainbow Line Transparent Black","STICK 16GB USB 2.0 Intenso Rainbow Line Transparent Black","Intenso","Electronics","Flash-Speicher","Flash-Speicher,USB Sticks",TRUE,,,,,,,"KSTC-100447",,shopify,100,deny,manual,15.13,,TRUE,TRUE,4034303010011,https://cdn.kosatec.de/media/image/92/dc/6d/100447.jpg,1,,FALSE,"STICK 16GB USB 2.0 Intenso Rainbow Line Transparent Black","STICK 16GB USB 2.0 Intenso Rainbow Line Transparent Black","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-100564 DisplayPort > HDMI (ST-ST) 4K 30Hz 3m Black","DisplayPort > HDMI (ST-ST) 4K 30Hz 3m Black","DisplayPort > HDMI (ST-ST) 4K 30Hz 3m Black","No-Name","Electronics","Kabel & Adapter","Kabel & Adapter,Display",TRUE,,,,,,,"KSTC-100564",,shopify,300,deny,manual,22.08,,TRUE,TRUE,4017538064608,https://cdn.kosatec.de/media/image/dc/a2/21/100564_600x600.jpg,1,,FALSE,"DisplayPort > HDMI (ST-ST) 4K 30Hz 3m Black","DisplayPort > HDMI (ST-ST) 4K 30Hz 3m Black","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-100858 TIN Epson C13T34664010 CMYK","TIN Epson C13T34664010 CMYK","TIN Epson C13T34664010 CMYK","Epson","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Tinte",TRUE,,,,,,,"KSTC-100858",,shopify,24,deny,manual,78.03,,TRUE,TRUE,8715946632117,https://cdn.kosatec.de/media/image/e9/b8/02/100858.jpg,1,,FALSE,"TIN Epson C13T34664010 CMYK","TIN Epson C13T34664010 CMYK","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-100988 61cm/24 (1920x1200) Fujitsu B24W-7 DVI DP USB Pivot 5ms marmorgrau","61cm/24 (1920x1200) Fujitsu B24W-7 DVI DP USB Pivot 5ms marmorgrau","61cm/24 (1920x1200) Fujitsu B24W-7 DVI DP USB Pivot 5ms marmorgrau","Fujitsu","Electronics","Displays","Displays,Monitore",TRUE,,,,,,,"KSTC-100988",,shopify,7,deny,manual,385.14,,TRUE,TRUE,4057185865128,https://cdn.kosatec.de/media/image/c7/7e/06/100988.jpg,1,,FALSE,"61cm/24 (1920x1200) Fujitsu B24W-7 DVI DP USB Pivot 5ms marmorgrau","61cm/24 (1920x1200) Fujitsu B24W-7 DVI DP USB Pivot 5ms marmorgrau","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-101020 Microsoft Surface Pen - V4 Black","Microsoft Surface Pen - V4 Black","Microsoft Surface Pen - V4 Black","Microsoft","Electronics","Tablets & Smartphones","Tablets & Smartphones,Tablet Zubehör",TRUE,,,,,,,"KSTC-101020",,shopify,100,deny,manual,120.90,,TRUE,TRUE,0889842203431,https://cdn.kosatec.de/media/image/cd/cb/39/101020_600x600.jpg,1,,FALSE,"Microsoft Surface Pen - V4 Black","Microsoft Surface Pen - V4 Black","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-101021 TIN Epson DURABrite Ultra Ink 27 XXL Black NEUE VERPACKUNG","TIN Epson DURABrite Ultra Ink 27 XXL Black NEUE VERPACKUNG","TIN Epson DURABrite Ultra Ink 27 XXL Black NEUE VERPACKUNG","Epson","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Tinte",TRUE,,,,,,,"KSTC-101021",,shopify,16,deny,manual,71.28,,TRUE,TRUE,8715946625942,https://cdn.kosatec.de/media/image/6a/34/e9/101021.jpg,1,,FALSE,"TIN Epson DURABrite Ultra Ink 27 XXL Black NEUE VERPACKUNG","TIN Epson DURABrite Ultra Ink 27 XXL Black NEUE VERPACKUNG","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-101112 TIN Canon CLI581 CMYK","TIN Canon CLI581 CMYK","TIN Canon CLI581 CMYK","Canon","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Tinte",TRUE,,,,,,,"KSTC-101112",,shopify,22,deny,manual,65.29,,TRUE,TRUE,8714574652214,https://cdn.kosatec.de/media/image/61/62/cf/101112_600x600.jpg,1,,FALSE,"TIN Canon CLI581 CMYK","TIN Canon CLI581 CMYK","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-101113 TIN Canon Tinte PGI-580XLPGBK Pigment Schwarz bis zu 400 Seiten gemäß ISO/IEC 24711","TIN Canon Tinte PGI-580XLPGBK Pigment Schwarz bis zu 400 Seiten gemäß ISO/IEC 24711","TIN Canon Tinte PGI-580XLPGBK Pigment Schwarz bis zu 400 Seiten gemäß ISO/IEC 24711","Canon","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Tinte",TRUE,,,,,,,"KSTC-101113",,shopify,200,deny,manual,31.91,,TRUE,TRUE,4549292086980,https://cdn.kosatec.de/media/image/83/51/62/101113_600x600.jpg,1,,FALSE,"TIN Canon Tinte PGI-580XLPGBK Pigment Schwarz bis zu 400 Seiten gemäß ISO/IEC 24711","TIN Canon Tinte PGI-580XLPGBK Pigment Schwarz bis zu 400 Seiten gemäß ISO/IEC 24711","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-101114 TIN Canon CLI581XLBK black HC","TIN Canon CLI581XLBK black HC","TIN Canon CLI581XLBK black HC","Canon","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Tinte",TRUE,,,,,,,"KSTC-101114",,shopify,80,deny,manual,29.51,,TRUE,TRUE,4549292086997,https://cdn.kosatec.de/media/image/96/6f/b0/101114_600x600.jpg,1,,FALSE,"TIN Canon CLI581XLBK black HC","TIN Canon CLI581XLBK black HC","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
"KSTC-101115 TIN Canon CLI581XLC cyan HC","TIN Canon CLI581XLC cyan HC","TIN Canon CLI581XLC cyan HC","Canon","Electronics","Verbrauchsmaterialien","Verbrauchsmaterialien,Tinte",TRUE,,,,,,,"KSTC-101115",,shopify,100,deny,manual,30.25,,TRUE,TRUE,4549292087017,https://cdn.kosatec.de/media/image/64/b4/3e/101115_600x600.jpg,1,,FALSE,"TIN Canon CLI581XLC cyan HC","TIN Canon CLI581XLC cyan HC","Electronics",,,,,,,FALSE,,,,,,,,,,,,active
