Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"LNTYS-EU710220 Auldey Super Wings Transforming Donnie","Auldey Super Wings Transforming Donnie","Super Wings Transforming Donnie","Auldey","Toys & Games > Toys","Toys","Toys,Auldey",TRUE,,,,,,,"LNTYS-EU710220",,shopify,5,deny,manual,16.11,,TRUE,TRUE,6911400341263,https://public.mteam-ssc.com/lt_eu/images/resized_no_watermark/1/2/217819.jpg,1,,FALSE,"Auldey Super Wings Transforming Donnie","Super Wings Transforming Donnie","Toys",,,,,,,FALSE,,,,,,,,,,,,active
"LNTYS-EU720221 Auldey Super Wings Transforming Flip","Auldey Super Wings Transforming Flip","Super Wings Transforming Flip","Auldey","Toys & Games > Toys","Toys","Toys,Auldey",TRUE,,,,,,,"LNTYS-EU720221",,shopify,5,deny,manual,16.11,,TRUE,TRUE,6911400361650,https://public.mteam-ssc.com/lt_eu/images/resized_no_watermark/1/2/217823.jpg,1,,FALSE,"Auldey Super Wings Transforming Flip","Super Wings Transforming Flip","Toys",,,,,,,FALSE,,,,,,,,,,,,active
"LNTYS-US710250 Auldey Super Wings Transforming Paul Plane","Auldey Super Wings Transforming Paul Plane","Super Wings Transforming Paul Plane","Auldey","Toys & Games > Toys","Toys","Toys,Auldey",TRUE,,,,,,,"LNTYS-US710250",,shopify,3,deny,manual,16.11,,TRUE,TRUE,6911400350661,https://public.mteam-ssc.com/lt_eu/images/resized_no_watermark/1/2/217822.jpeg,1,,FALSE,"Auldey Super Wings Transforming Paul Plane","Super Wings Transforming Paul Plane","Toys",,,,,,,FALSE,,,,,,,,,,,,active
"LNTYS-YW710230 Auldey Super Wings Transformer Jerome","Auldey Super Wings Transformer Jerome","Super Wings Transformer Jerome","Auldey","Toys & Games > Toys","Toys","Toys,Auldey",TRUE,,,,,,,"LNTYS-YW710230",,shopify,10,deny,manual,16.11,,TRUE,TRUE,6911400341270,https://public.mteam-ssc.com/lt_eu/images/resized_no_watermark/1/2/217820.jpg,1,,FALSE,"Auldey Super Wings Transformer Jerome","Super Wings Transformer Jerome","Toys",,,,,,,FALSE,,,,,,,,,,,,active
"LNTYS-24890595-1 Brio Bed Set For Brio Combi Black With White Dots / from Assort <br><br><em>27.40 x 21.20 x 7.40 (cm)</em>","Brio Bed Set For Brio Combi Black With White Dots / from Assort <br><br><em>27.40 x 21.20 x 7.40 (cm)</em>","Bed Set For Brio Combi Black With White Dots / from Assort <br><br><em>27.40 x 21.20 x 7.40 (cm)</em>","Brio","Toys & Games > Toys","Toys","Toys,Brio",TRUE,,,,,,,"LNTYS-24890595-1",,shopify,29,deny,manual,14.76,,TRUE,TRUE,4250479202474,https://public.mteam-ssc.com/lt_eu/images/resized_no_watermark/1/2/174472.jpg,1,,FALSE,"Brio Bed Set For Brio Combi Black With White Dots / from Assort <br><br><em>27.40 x 21.20 x 7.40 (cm)</em>","Bed Set For Brio Combi Black With White Dots / from Assort <br><br><em>27.40 x 21.20 x 7.40 (cm)</em>","Toys",,,,,,,FALSE,,,,,,,,,,,,active
"LNTYS-04040 Bruder Fendt 1050 Vario Tractor","Bruder Fendt 1050 Vario Tractor","Fendt 1050 Vario Tractor","Bruder","Toys & Games > Toys","Toys","Toys,Bruder",TRUE,,,,,,,"LNTYS-04040",,shopify,4,deny,manual,47.86,,TRUE,TRUE,4001702040406,https://public.mteam-ssc.com/lt_eu/images/resized_no_watermark/1/2/53635.jpg,1,,FALSE,"Bruder Fendt 1050 Vario Tractor","Fendt 1050 Vario Tractor","Toys",,,,,,,FALSE,,,,,,,,,,,,active
"LNTYS-20020571 Carrera 1:24 3 Pcs In Box Flat Curve 1/60","Carrera 1:24 3 Pcs In Box Flat Curve 1/60","1:24 3 Pcs In Box Flat Curve 1/60","Carrera","Toys & Games > Toys","Toys","Toys,Carrera",TRUE,,,,,,,"LNTYS-20020571",,shopify,10,deny,manual,38.97,,TRUE,TRUE,4007486205710,https://public.mteam-ssc.com/lt_eu/images/resized_no_watermark/1/2/160877.png,1,,FALSE,"Carrera 1:24 3 Pcs In Box Flat Curve 1/60","1:24 3 Pcs In Box Flat Curve 1/60","Toys",,,,,,,FALSE,,,,,,,,,,,,active
"LNTYS-20030364 Carrera Digital 132 Lane Change Curve Right in to Out","Carrera Digital 132 Lane Change Curve Right in to Out","Digital 132 Lane Change Curve Right in to Out","Carrera","Toys & Games > Toys","Toys","Toys,Carrera",TRUE,,,,,,,"LNTYS-20030364",,shopify,1,deny,manual,42.78,,TRUE,TRUE,4007486303645,https://public.mteam-ssc.com/lt_eu/images/resized_no_watermark/1/2/61074.jpg,1,,FALSE,"Carrera Digital 132 Lane Change Curve Right in to Out","Digital 132 Lane Change Curve Right in to Out","Toys",,,,,,,FALSE,,,,,,,,,,,,active
"LNTYS-20085509 Carrera Digital 124/132/Evolution Guardrail 20 m","Carrera Digital 124/132/Evolution Guardrail 20 m","Digital 124/132/Evolution Guardrail 20 m","Carrera","Toys & Games > Toys","Toys","Toys,Carrera",TRUE,,,,,,,"LNTYS-20085509",,shopify,19,deny,manual,47.86,,TRUE,TRUE,4007486855090,https://public.mteam-ssc.com/lt_eu/images/resized_no_watermark/1/2/170361.jpg,1,,FALSE,"Carrera Digital 124/132/Evolution Guardrail 20 m","Digital 124/132/Evolution Guardrail 20 m","Toys",,,,,,,FALSE,,,,,,,,,,,,active
"LNTYS-26953 Carrera Evolution Extension Set","Carrera Evolution Extension Set","Evolution Extension Set","Carrera","Toys & Games > Toys","Toys","Toys,Carrera",TRUE,,,,,,,"LNTYS-26953",,shopify,8,deny,manual,56.75,,TRUE,TRUE,4007486269538,https://public.mteam-ssc.com/lt_eu/images/resized_no_watermark/1/2/62751.jpg,1,,FALSE,"Carrera Evolution Extension Set","Evolution Extension Set","Toys",,,,,,,FALSE,,,,,,,,,,,,active
