Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"PCNB-71120","Captiva B4I 23V1","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : Intel G6900<br>Mainboard : H610M<br>RAM : 8GB<br>Graphic : Intel UHD Graphics <br>SSD : 500GB M.2<br>CPU Cooler : Box<br>OS : Win11 Home <br>Type : PC<br>","Intel","Electronics > Computers","Computer","Computer,Intel",TRUE,,,,,,,"PCNB-71120",,shopify,4,deny,manual,501.93,,TRUE,TRUE,4046373711200,https://www.nexoc-store.de/shop/media/image/f4/d6/80/45186_02p6kpWGYIRKHm8_600x600..jpg,1,,FALSE,"Captiva B4I 23V1","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : Intel G6900<br>Mainboard : H610M<br>RAM : 8GB<br>Graphic : Intel UHD Graphics <br>SSD : 500GB M.2<br>CPU Cooler : Box<br>OS : Win11 Home <br>Type : PC<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-63233","Captiva B4A 21V1","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R3 4300GE<br>Mainboard : A520M<br>RAM : 8GB<br>Graphic : Radeon Graphics<br>SSD : 256GB M.2<br>HDD : 1TB<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Home<br>Type : PC<br>","AMD","Electronics > Computers","Computer","Computer,AMD",TRUE,,,,,,,"PCNB-63233",,shopify,5,deny,manual,597.69,,TRUE,TRUE,4046373632338,https://www.nexoc-store.de/shop/media/image/b0/a4/1b/45186_01MDaWPlQhRiGLz_600x600..jpg,1,,FALSE,"Captiva B4A 21V1","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R3 4300GE<br>Mainboard : A520M<br>RAM : 8GB<br>Graphic : Radeon Graphics<br>SSD : 256GB M.2<br>HDD : 1TB<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Home<br>Type : PC<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-66348","Captiva B4A 21V1.1","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R3 4300GE<br>Mainboard : A520M<br>RAM : 8GB<br>Graphic : Radeon Graphics<br>SSD : 256GB M.2<br>HDD : 1TB<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Home<br>Type : PC<br>","AMD","Electronics > Computers","Computer","Computer,AMD",TRUE,,,,,,,"PCNB-66348",,shopify,5,deny,manual,597.69,,TRUE,TRUE,4046373663486,https://www.nexoc-store.de/shop/media/image/0c/02/e1/45186_01OtnalytkbC62B_600x600..jpg,1,,FALSE,"Captiva B4A 21V1.1","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R3 4300GE<br>Mainboard : A520M<br>RAM : 8GB<br>Graphic : Radeon Graphics<br>SSD : 256GB M.2<br>HDD : 1TB<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Home<br>Type : PC<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-65286","Captiva B4A 21V1 Pro","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R3 4300GE<br>Mainboard : A520M<br>RAM : 8GB<br>Graphic : Radeon Graphics<br>SSD : 250GB M.2<br>HDD : 1TB<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Pro<br>Type : PC<br>","AMD","Electronics > Computers","Computer","Computer,AMD",TRUE,,,,,,,"PCNB-65286",,shopify,5,deny,manual,639.27,,TRUE,TRUE,4046373652862,https://www.nexoc-store.de/shop/media/image/35/29/d7/45186_01Tr1BK5xmRVtzu_600x600..jpg,1,,FALSE,"Captiva B4A 21V1 Pro","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R3 4300GE<br>Mainboard : A520M<br>RAM : 8GB<br>Graphic : Radeon Graphics<br>SSD : 250GB M.2<br>HDD : 1TB<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Pro<br>Type : PC<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-63238","Captiva B4A 21V2","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R3 4300GE<br>Mainboard : A520M<br>RAM : 8GB<br>Graphic : Radeon Graphics<br>SSD : 500GB M.2<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Home<br>Type : PC<br>","AMD","Electronics > Computers","Computer","Computer,AMD",TRUE,,,,,,,"PCNB-63238",,shopify,5,deny,manual,566.19,,TRUE,TRUE,4046373632383,https://www.nexoc-store.de/shop/media/image/f0/2b/f4/45186_01ap7q3HWnk8xGa_600x600..jpg,1,,FALSE,"Captiva B4A 21V2","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R3 4300GE<br>Mainboard : A520M<br>RAM : 8GB<br>Graphic : Radeon Graphics<br>SSD : 500GB M.2<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Home<br>Type : PC<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-66349","Captiva B4A 21V2.1","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R3 4300GE<br>Mainboard : A520M<br>RAM : 8GB<br>Graphic : Radeon Graphics<br>SSD : 500GB M.2<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Home<br>Type : PC<br>","AMD","Electronics > Computers","Computer","Computer,AMD",TRUE,,,,,,,"PCNB-66349",,shopify,5,deny,manual,566.19,,TRUE,TRUE,4046373663493,https://www.nexoc-store.de/shop/media/image/a1/89/84/45186_014fkjZMSocl2Z8_600x600..jpg,1,,FALSE,"Captiva B4A 21V2.1","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R3 4300GE<br>Mainboard : A520M<br>RAM : 8GB<br>Graphic : Radeon Graphics<br>SSD : 500GB M.2<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Home<br>Type : PC<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-65288","Captiva B4A 21V2 Pro","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R3 4300GE<br>Mainboard : A520M<br>RAM : 8GB<br>Graphic : Radeon Graphics<br>SSD : 500GB M.2<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Pro<br>Type : PC<br>","AMD","Electronics > Computers","Computer","Computer,AMD",TRUE,,,,,,,"PCNB-65288",,shopify,5,deny,manual,607.77,,TRUE,TRUE,4046373652886,https://www.nexoc-store.de/shop/media/image/98/fa/60/45186_01vsiVV9SO3OORN_600x600..jpg,1,,FALSE,"Captiva B4A 21V2 Pro","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R3 4300GE<br>Mainboard : A520M<br>RAM : 8GB<br>Graphic : Radeon Graphics<br>SSD : 500GB M.2<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Pro<br>Type : PC<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-59542","Captiva B5A 21V1","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R5 4650G<br>Mainboard : A520M<br>RAM : 16GB<br>Graphic : Radeon Graphics<br>SSD : 480GB<br>HDD : 1TB<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Home<br>Type : PC<br>","AMD","Electronics > Computers","Computer","Computer,AMD",TRUE,,,,,,,"PCNB-59542",,shopify,113,deny,manual,682.11,,TRUE,TRUE,4046373595428,https://www.nexoc-store.de/shop/media/image/0e/7d/0a/45186_01yK89X2eQ5Nx0n_600x600..png,1,,FALSE,"Captiva B5A 21V1","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R5 4650G<br>Mainboard : A520M<br>RAM : 16GB<br>Graphic : Radeon Graphics<br>SSD : 480GB<br>HDD : 1TB<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Home<br>Type : PC<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-66350","Captiva B5A 21V1.1","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R5 4650G<br>Mainboard : A520M<br>RAM : 16GB<br>Graphic : Radeon Graphics<br>SSD : 480GB<br>HDD : 1TB<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Home<br>Type : PC<br>","AMD","Electronics > Computers","Computer","Computer,AMD",TRUE,,,,,,,"PCNB-66350",,shopify,113,deny,manual,682.11,,TRUE,TRUE,4046373663509,https://www.nexoc-store.de/shop/media/image/2f/5d/ea/45186_01epxLz1eqf3C7u_600x600..jpg,1,,FALSE,"Captiva B5A 21V1.1","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R5 4650G<br>Mainboard : A520M<br>RAM : 16GB<br>Graphic : Radeon Graphics<br>SSD : 480GB<br>HDD : 1TB<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Home<br>Type : PC<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
"PCNB-65281","Captiva B5A 21V1 Pro","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R5 4650G<br>Mainboard : A520M<br>RAM : 16GB<br>Graphic : Radeon Graphics<br>SSD : 480GB<br>HDD : 1TB<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Pro<br>Type : PC<br>","AMD","Electronics > Computers","Computer","Computer,AMD",TRUE,,,,,,,"PCNB-65281",,shopify,113,deny,manual,713.61,,TRUE,TRUE,4046373652817,https://www.nexoc-store.de/shop/media/image/38/e4/25/45186_01NdNZYMiYUS2rV_600x600..jpg,1,,FALSE,"Captiva B5A 21V1 Pro","Chassis : Sohoo 6826<br>Power : 350W<br>CPU : AMD R5 4650G<br>Mainboard : A520M<br>RAM : 16GB<br>Graphic : Radeon Graphics<br>SSD : 480GB<br>HDD : 1TB<br>CPU Cooler : A250<br>Periphery : inkl. Keyboard & Mouse<br>OS : Win11 Pro<br>Type : PC<br>","Computer",,,,,,,FALSE,,,,,,,,,,,,active
