Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"TSPG-34703 Freestyle stuntstep Junior Fußbremse Schwarz","Freestyle stuntstep Junior Fußbremse Schwarz","Freestyle-Scooter  mattschwarz  EK","Freestyle","Toys & Games > Toys > Riding Toys","toys","Stunt Scooter",TRUE,,,,,,,"TSPG-34703",,shopify,1,deny,manual,107.04,,TRUE,TRUE,4015493650423,https://images.foris.shop/producten/original/freestyle_scooter_unisex_voetrem_zwart_34703.jpg,1,,FALSE,"stuntstep Junior Fußbremse Schwarz","Freestyle-Scooter  mattschwarz  EK","Steppes","Schwarz","6-8 Jahr 8-10 Jahr 10-12 Jahr",,,,,FALSE,,,,,,,,,,,,active
"TSPG-34708 X-Sports Mini Roller Junior Fußbremse Silber","X-Sports Mini Roller Junior Fußbremse Silber","Mini-Roller für Kinder  120 mm Laufräder  Fahrergewicht max. 50 kg  Alu  EK","X-Sports","Toys & Games > Toys > Riding Toys","toys","2-Rad-Kinder Scooters",TRUE,,,,,,,"TSPG-34708",,shopify,1,deny,manual,58.74,,TRUE,TRUE,5201536003014,https://images.foris.shop/producten/original/x-sports_mini_roller_step_junior_voetrem_zilver_34708_20200821091244.jpg,1,,FALSE,"Mini Roller Junior Fußbremse Silber","Mini-Roller für Kinder  120 mm Laufräder  Fahrergewicht max. 50 kg  Alu  EK","Steppes","Silber","6-8 Jahr 8-10 Jahr 10-12 Jahr",,,,,FALSE,,,,,,,,,,,,active
"TSPG-58042 Clown keezenspel (NL)","Clown keezenspel (NL)","Clown Keezenspel  Ein echtes niederländisches und sehr unterhaltsames Brettspiel! Keezen ist eine Kombination aus Mobbing und Ludo. Die Karte  die du aufdeckst  bestimmt  was du mit deiner Spielfigur machen kannst. Sorgen Sie dafür  dass Sie Ihre Figuren zuerst in die Heimathallen bringen und versuchen Sie  Ihre Gegner daran zu hindern  dasselbe Ziel zu erreichen  indem Sie Mobbing-Karten spielen!  Spezifikationen: Farbe: mehrfarbig Geschlecht: Junior Material: Karton Anzahl der Spieler: 2 - 6 Alter: 6 Jahre und älter Sprache: Niederländisch","Clown","Toys & Games > Games","toys","Gesellschaftsspiele",TRUE,,,,,,,"TSPG-58042",,shopify,1,deny,manual,27.17,,TRUE,TRUE,8712051207971,https://images.foris.shop/producten/original/clown_keezenspel_58042.jpg,1,,FALSE,"keezenspel (NL)","Clown Keezenspel  Ein echtes niederländisches und sehr unterhaltsames Brettspiel! Keezen ist eine Kombination aus Mobbing und Ludo. Die Karte  die du aufdeckst  bestimmt  was du mit deiner Spielfigur machen kannst. Sorgen Sie dafür  dass Sie Ihre Figuren zuerst in die Heimathallen bringen und versuchen Sie  Ihre Gegner daran zu hindern  dasselbe Ziel zu erreichen  indem Sie Mobbing-Karten spielen!  Spezifikationen: Farbe: mehrfarbig Geschlecht: Junior Material: Karton Anzahl der Spieler: 2 - 6 Alter: 6 Jahre und älter Sprache: Niederländisch","Spiele","Multicolor","6-8 Jahr 8-10 Jahr 10-12 Jahr Ab 12 Jahr",,,,,FALSE,,,,,,,,,,,,active
"TSPG-66257 VDM Holland UHR Large","VDM Holland UHR Large","Hip-Uhr mit Orange Gurt und Uhr mit niederländischer Flagge. In Größe L  für Männer geeignet. Mit Batterien kommt im stilvollen Verpackung.","VDM","Toys & Games > Toys > Dolls, Playsets & Toy Figures","toys","Attribute verkleiden",TRUE,,,,,,,"TSPG-66257",,shopify,5,deny,manual,12.80,,TRUE,TRUE,8712051213033,https://images.foris.shop/producten/original/vdm_holland_watch_large_66257.jpg,1,,FALSE,"Holland UHR Large","Hip-Uhr mit Orange Gurt und Uhr mit niederländischer Flagge. In Größe L  für Männer geeignet. Mit Batterien kommt im stilvollen Verpackung.","Verkleiden","Orange","Ab 18 Jahr",,,,,FALSE,,,,,,,,,,,,active
"TSPG-82877 4M Wissenschaft in Aktion: Wasserrakete","4M Wissenschaft in Aktion: Wasserrakete","4M Wissenschaft in Aktion Wasserrakete  Diese lustige Wasserrakete kann von Ihrem Kind zusammengesetzt werden. Diese 4MScience In Action Wasserrakete kann mit einer Flasche  Wasser und einer Pumpe hergestellt werden. Natürlich mit ausführlicher Anleitung  Die Abmessungen der Box betragen 29 x 22 x 10 5 cm Geeignet für Kinder ab 14 Jahren Inhalt: 1 Kunststoffflasche (Raketenkörper)  4 Flossen  1 Flossenhalter  1 Anschlag  1 Stoppanschluss  1 Pumpenanschluss  1 Kunststoffschlauchverlängerung und ausführliche Anleitung.","4M","Toys & Games > Toys > Building Toys","toys","Modellbau",TRUE,,,,,,,"TSPG-82877",,shopify,5,deny,manual,37.81,,TRUE,TRUE,4893156039125,https://images.foris.shop/producten/original/4m_science_in_action_waterraket_82877.jpg,1,,FALSE,"Wissenschaft in Aktion: Wasserrakete","4M Wissenschaft in Aktion Wasserrakete  Diese lustige Wasserrakete kann von Ihrem Kind zusammengesetzt werden. Diese 4MScience In Action Wasserrakete kann mit einer Flasche  Wasser und einer Pumpe hergestellt werden. Natürlich mit ausführlicher Anleitung  Die Abmessungen der Box betragen 29 x 22 x 10 5 cm Geeignet für Kinder ab 14 Jahren Inhalt: 1 Kunststoffflasche (Raketenkörper)  4 Flossen  1 Flossenhalter  1 Anschlag  1 Stoppanschluss  1 Pumpenanschluss  1 Kunststoffschlauchverlängerung und ausführliche Anleitung.","Bausteine","Transparent Grau","Ab 12 Jahr",,,,,FALSE,,,,,,,,,,,,active
"TSPG-95663 Angel Sports Basketball Norm einstellbar bis 215 cm","Angel Sports Basketball Norm einstellbar bis 215 cm","Angel Sports basketballständer  Dieser Angel SportsBasketballständer ist bis zu einer Höhe von 215 cm verstellbar und mit einem Basketballring mit einem Durchmesser von 40 cm ausgestattet. Der Fuß kann mit Sand oder Wasser für zusätzliche Stabilität gefüllt werden und hat Räder  so dass Sie ihn leicht bewegen können.  Spezifikationen Einstellbar von: 165 bis 215 cm Geeignet für den Innen- und Außenbereich. Abmessungen Brett: 71 x 45 cm Abmessungen Fuß: 74 x 55 x 13 cm","Angel Sports","Toys & Games > Outdoor Play Equipment","toys","Basketball",TRUE,,,,,,,"TSPG-95663",,shopify,1,deny,manual,139.30,,TRUE,TRUE,8716096012729,https://images.foris.shop/producten/original/angel_sports_basketbalstandaard_140-215_cm_95663.jpg,1,,FALSE,"Basketball Norm einstellbar bis 215 cm","Angel Sports basketballständer  Dieser Angel SportsBasketballständer ist bis zu einer Höhe von 215 cm verstellbar und mit einem Basketballring mit einem Durchmesser von 40 cm ausgestattet. Der Fuß kann mit Sand oder Wasser für zusätzliche Stabilität gefüllt werden und hat Räder  so dass Sie ihn leicht bewegen können.  Spezifikationen Einstellbar von: 165 bis 215 cm Geeignet für den Innen- und Außenbereich. Abmessungen Brett: 71 x 45 cm Abmessungen Fuß: 74 x 55 x 13 cm","Außenspielwaren","Schwarz","Ab 12 Jahr",,,,,FALSE,,,,,,,,,,,,active
"TSPG-102568 Black Dragon stuntstep Junior Fußbremse Weiß/Grün","Black Dragon stuntstep Junior Fußbremse Weiß/Grün","Black Dragon Stunt Scooter  Super hart Black Dragon Stunt Scooter. Der Schritt wird nicht zu falten und komfortabel hat gummiert mit Enden  die mit Berührungsschutz vorgesehen sind. Die dreifache Stabklemme und ein spezielles Design des Rollers stellen Sie sicher  dass er ist super stark und dennoch schmackhaft Abrollkomfort. Der Roller hat eine Fußbremse auf der Hinterrad  Griffband auf dem Fußbrett und zwei stabile Räder.  Spezifikationen: Geschlecht: junior Modell: 52MQ-ZGW Material Gestell: Aluminium  Stahl Material Fußstütze aus Aluminium Material Griffe: Gummi Bearings: ABEC 7 Abmessungen Fußplatte: 48 x 10 5 cm Lenkerhöhe: 83 cm Gewicht: 3 8 kg Maximale Belastung: 100 kg Scheibendurchmesser: 100 mm Radbreite: 24 mm Härte Rädern: 85A Farbe: weiß / grün","Black Dragon","Toys & Games > Toys > Riding Toys","toys","Stunt Scooter",TRUE,,,,,,,"TSPG-102568",,shopify,10,deny,manual,93.87,,TRUE,TRUE,8716404279578,https://images.foris.shop/producten/original/black_dragon_stunt_scooter_junior_voetrem_wit_groen_102568.jpg,1,,FALSE,"stuntstep Junior Fußbremse Weiß/Grün","Black Dragon Stunt Scooter  Super hart Black Dragon Stunt Scooter. Der Schritt wird nicht zu falten und komfortabel hat gummiert mit Enden  die mit Berührungsschutz vorgesehen sind. Die dreifache Stabklemme und ein spezielles Design des Rollers stellen Sie sicher  dass er ist super stark und dennoch schmackhaft Abrollkomfort. Der Roller hat eine Fußbremse auf der Hinterrad  Griffband auf dem Fußbrett und zwei stabile Räder.  Spezifikationen: Geschlecht: junior Modell: 52MQ-ZGW Material Gestell: Aluminium  Stahl Material Fußstütze aus Aluminium Material Griffe: Gummi Bearings: ABEC 7 Abmessungen Fußplatte: 48 x 10 5 cm Lenkerhöhe: 83 cm Gewicht: 3 8 kg Maximale Belastung: 100 kg Scheibendurchmesser: 100 mm Radbreite: 24 mm Härte Rädern: 85A Farbe: weiß / grün","Steppes","Weiß Grün","6-8 Jahr 8-10 Jahr 10-12 Jahr",,,,,FALSE,,,,,,,,,,,,active
"TSPG-102569 Black Dragon stuntstep Junior Fußbremse Schwarz/Bronze","Black Dragon stuntstep Junior Fußbremse Schwarz/Bronze","Black Dragon Stunt Scooter  Super hart Black Dragon Stunt Scooter. Der Schritt wird nicht zu falten und komfortabel hat gummiert mit Enden  die mit Berührungsschutz vorgesehen sind. Die dreifache Stabklemme und ein spezielles Design des Rollers stellen Sie sicher  dass er ist super stark und dennoch schmackhaft Abrollkomfort. Der Roller hat eine Fußbremse auf der Hinterrad  Griffband auf dem Fußbrett und zwei stabile Räder.  Spezifikationen: Geschlecht: junior Modell: 52MQ-ZBM Material Gestell: Aluminium  Stahl Material Fußstütze aus Aluminium Material Griffe: Gummi Bearings: ABEC 7 Abmessungen Fußplatte: 48 x 10 5 cm Lenkerhöhe: 83 cm Gewicht: 3 8 kg Maximale Belastung: 100 kg Scheibendurchmesser: 100 mm Radbreite: 24 mm Härte Rädern: 85A Farbe: schwarz / bronze","Black Dragon","Toys & Games > Toys > Riding Toys","toys","Stunt Scooter",TRUE,,,,,,,"TSPG-102569",,shopify,24,deny,manual,100.14,,TRUE,TRUE,8716404279561,https://images.foris.shop/producten/original/black_dragon_stunt_scooter_junior_voetrem_zwart_brons_102569.jpg,1,,FALSE,"stuntstep Junior Fußbremse Schwarz/Bronze","Black Dragon Stunt Scooter  Super hart Black Dragon Stunt Scooter. Der Schritt wird nicht zu falten und komfortabel hat gummiert mit Enden  die mit Berührungsschutz vorgesehen sind. Die dreifache Stabklemme und ein spezielles Design des Rollers stellen Sie sicher  dass er ist super stark und dennoch schmackhaft Abrollkomfort. Der Roller hat eine Fußbremse auf der Hinterrad  Griffband auf dem Fußbrett und zwei stabile Räder.  Spezifikationen: Geschlecht: junior Modell: 52MQ-ZBM Material Gestell: Aluminium  Stahl Material Fußstütze aus Aluminium Material Griffe: Gummi Bearings: ABEC 7 Abmessungen Fußplatte: 48 x 10 5 cm Lenkerhöhe: 83 cm Gewicht: 3 8 kg Maximale Belastung: 100 kg Scheibendurchmesser: 100 mm Radbreite: 24 mm Härte Rädern: 85A Farbe: schwarz / bronze","Steppes","Schwarz Bronze","6-8 Jahr 8-10 Jahr 10-12 Jahr",,,,,FALSE,,,,,,,,,,,,active
"TSPG-104669 Longfield Games Backgammon DeLuxe 46 cm schwarz","Longfield Games Backgammon DeLuxe 46 cm schwarz","Longfield Games Backgammon  Ein 18-Zoll-Koffer mit einem Backgammon-Set. Das Gehäuse hat einen Holzrahmen und ist mit Kunstleder bezogen.  Spezifikationen: Geschlecht: Unisex Gehäusefarbe: schwarz Innenfarbe: braun Abmessungen Koffer: 46 x 31 x 5 4 cm  Inhalt: 1 Koffer 4 Würfel 1 Verdoppelungsstein 30 Steine 2 Würfelbecher","Longfield Games","Toys & Games > Games","toys","Gesellschaftsspiele",TRUE,,,,,,,"TSPG-104669",,shopify,1,deny,manual,47.53,,TRUE,TRUE,8716096012910,https://images.foris.shop/producten/original/longfield_games_backgammon_set_de_luxe_18_inch_zwart_104669.jpg,1,,FALSE,"Backgammon DeLuxe 46 cm schwarz","Longfield Games Backgammon  Ein 18-Zoll-Koffer mit einem Backgammon-Set. Das Gehäuse hat einen Holzrahmen und ist mit Kunstleder bezogen.  Spezifikationen: Geschlecht: Unisex Gehäusefarbe: schwarz Innenfarbe: braun Abmessungen Koffer: 46 x 31 x 5 4 cm  Inhalt: 1 Koffer 4 Würfel 1 Verdoppelungsstein 30 Steine 2 Würfelbecher","Spiele","Schwarz","10-12 Jahr Ab 12 Jahr",,,,,FALSE,,,,,,,,,,,,active
"TSPG-113474 StreetSurfing skateboard Cool Shoe Single 57 cm mehrfarbig","StreetSurfing skateboard Cool Shoe Single 57 cm mehrfarbig","StreetSurfing skateboard  Dieses coole Skateboard ist perfekt zum Lernen von Tricks! Mit diesem bunten Skateboard heben Sie sich garantiert von allen anderen Skateboardern ab  Spezifikationen: Geschlecht: Juniorin Farbe: grün/gelb/rot Material: Kunststoff Abmessungen: 57 x 14 cm (L x B) Raddurchmesser: 57 mm Breite der Räder: 45 mm Maximale Tragfähigkeit 100 kg","StreetSurfing","Sporting Goods > Athletics > Figure Skating & Hockey > Ice Skates","toys","Skateboards",TRUE,,,,,,,"TSPG-113474",,shopify,1,deny,manual,67.94,,TRUE,TRUE,8718807575967,https://images.foris.shop/producten/original/streetsurfing_skateboard_cool_shoe_single_57_cm_multicolor_113474.jpg,1,,FALSE,"skateboard Cool Shoe Single 57 cm mehrfarbig","StreetSurfing skateboard  Dieses coole Skateboard ist perfekt zum Lernen von Tricks! Mit diesem bunten Skateboard heben Sie sich garantiert von allen anderen Skateboardern ab  Spezifikationen: Geschlecht: Juniorin Farbe: grün/gelb/rot Material: Kunststoff Abmessungen: 57 x 14 cm (L x B) Raddurchmesser: 57 mm Breite der Räder: 45 mm Maximale Tragfähigkeit 100 kg","Schlittschuhlaufen","Multicolor","8-10 Jahr 10-12 Jahr Ab 12 Jahr",,,,,FALSE,,,,,,,,,,,,active
