Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
"VLRE-6 Volare Volare Motobike Kinderfahrrad - Jungen - 12 Zoll - Grün - 95% zusammengebaut","Volare Volare Motobike Kinderfahrrad - Jungen - 12 Zoll - Grün - 95% zusammengebaut","<p>Für jedes Kind ist das Erlernen des Fahrradfahrens ein Fest mit dem Volare Motorbike 12 Zoll Kinderfahrrad!&nbsp;</p><p>Sicherheit geht vor! Deshalb hat dieses coole Fahrrad eine Handbremse, eine Rücktrittbremse und einen geschlossenen Kettenkasten. Außerdem hat das Fahrrad abnehmbare Seitenräder, damit man schnell lernen kann, auf dem Fahrrad zu fahren, und Reflektoren in den Rädern, an der Vorder- und Rückseite des Fahrrads. Auch an den Komfort wurde gedacht. Das schöne grüne Volare Fahrrad hat einen bequemen, weichen Rennsattel, extra große Schutzbleche und einen einzigartigen Motorrahmen. Um möglichst lange Freude an dem Fahrrad zu haben, ist der Lenker höhenverstellbar. Kurzum: ein hochwertiges Fahrrad, an dem Ihr Kind jahrelang Freude haben wird!</p><p>Das 12-Zoll-Volare-Motorbike ist zu 95 % zusammengebaut und damit besonders einfach zu montieren - welch ein Luxus!</p>","Volare","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Jungenfahrräder///Jungenfahrräder 12 Zoll ","Jungenfahrräder///Jungenfahrräder 12 Zoll ",TRUE,,,,,,,"VLRE-6",,shopify,50,deny,manual,234.90,,TRUE,TRUE,8715347612077,https://www.volare-kinderfietsen.nl/images/thumbnails/660/440/detailed/11/Volare_Motobike_12_inch_2_trans-W1800.jpg,1,,FALSE,"Volare Motobike Kinderfahrrad - Jungen - 12 Zoll - Grün - 95% zusammengebaut","<p>Für jedes Kind ist das Erlernen des Fahrradfahrens ein Fest mit dem Volare Motorbike 12 Zoll Kinderfahrrad!&nbsp;</p><p>Sicherheit geht vor! Deshalb hat dieses coole Fahrrad eine Handbremse, eine Rücktrittbremse und einen geschlossenen Kettenkasten. Außerdem hat das Fahrrad abnehmbare Seitenräder, damit man schnell lernen kann, auf dem Fahrrad zu fahren, und Reflektoren in den Rädern, an der Vorder- und Rückseite des Fahrrads. Auch an den Komfort wurde gedacht. Das schöne grüne Volare Fahrrad hat einen bequemen, weichen Rennsattel, extra große Schutzbleche und einen einzigartigen Motorrahmen. Um möglichst lange Freude an dem Fahrrad zu haben, ist der Lenker höhenverstellbar. Kurzum: ein hochwertiges Fahrrad, an dem Ihr Kind jahrelang Freude haben wird!</p><p>Das 12-Zoll-Volare-Motorbike ist zu 95 % zusammengebaut und damit besonders einfach zu montieren - welch ein Luxus!</p>","Jungenfahrräder///Jungenfahrräder 12 Zoll ",,,,,,,FALSE,,,,,,,,,,,,active
"VLRE-17 Volare Volare Heart Cruiser Kinderfahrrad - Mädchen - 12 Zoll - Weiß/Lila","Volare Volare Heart Cruiser Kinderfahrrad - Mädchen - 12 Zoll - Weiß/Lila","<p>Mit dem Heart Cruiser 12 Zoll Kinderfahrrad wird das Erlernen des Fahrradfahrens für jedes Kind zum Vergnügen!</p><p>Sicherheit geht vor! Deshalb hat dieses coole Fahrrad eine Handbremse, eine Rücktrittbremse und abnehmbare Stützräder. Außerdem hat das Fahrrad eine schöne Klingel. Auch an den Komfort wurde gedacht. Das schöne weiße und lila Heart Cruiser Fahrrad hat einen bequemen weichen Sattel und einen Korb. Damit Sie so lange wie möglich Freude an Ihrem Fahrrad haben, sind Sattel und Lenker höhenverstellbar.&nbsp;</p>","Volare","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Mädchenfahrräder///Mädchenfahrräder 12 Zoll ","Mädchenfahrräder///Mädchenfahrräder 12 Zoll ",TRUE,,,,,,,"VLRE-17",,shopify,50,deny,manual,148.45,,TRUE,TRUE,8715347612091,https://www.volare-kinderfietsen.nl/images/thumbnails/660/440/detailed/1/61209-2.jpg,1,,FALSE,"Volare Heart Cruiser Kinderfahrrad - Mädchen - 12 Zoll - Weiß/Lila","<p>Mit dem Heart Cruiser 12 Zoll Kinderfahrrad wird das Erlernen des Fahrradfahrens für jedes Kind zum Vergnügen!</p><p>Sicherheit geht vor! Deshalb hat dieses coole Fahrrad eine Handbremse, eine Rücktrittbremse und abnehmbare Stützräder. Außerdem hat das Fahrrad eine schöne Klingel. Auch an den Komfort wurde gedacht. Das schöne weiße und lila Heart Cruiser Fahrrad hat einen bequemen weichen Sattel und einen Korb. Damit Sie so lange wie möglich Freude an Ihrem Fahrrad haben, sind Sattel und Lenker höhenverstellbar.&nbsp;</p>","Mädchenfahrräder///Mädchenfahrräder 12 Zoll ",,,,,,,FALSE,,,,,,,,,,,,active
"VLRE-23 Disney Cars Disney Cars Kinderfahrrad - Jungen - 10 Zoll - Rot - Fester Gang","Disney Cars Disney Cars Kinderfahrrad - Jungen - 10 Zoll - Rot - Fester Gang","<p>Für jedes Kind ist das Erlernen des Fahrradfahrens ein Fest mit dem Disney Cars 10-Zoll-Kinderfahrrad!</p><p>Sicherheit geht vor! Deshalb hat dieses coole Fahrrad ein Pedalsystem, damit das Kind vorwärts und rückwärts fahren kann, einen geschlossenen Kettenschutz und abnehmbare Seitenräder. Auch der Komfort spielt eine Rolle. Das schöne rote Cars-Fahrrad hat und luftlose Schaumstoffreifen, die nicht durchstochen werden können. Damit Sie so lange wie möglich Freude an Ihrem Fahrrad haben, sind Sattel und Lenker höhenverstellbar.&nbsp;</p><p>Offiziell lizenziertes Disney Cars-Produkt.</p>","Disney Cars","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Jungenfahrräder///Jungenfahrräder 10 Zoll","Jungenfahrräder///Jungenfahrräder 10 Zoll",TRUE,,,,,,,"VLRE-23",,shopify,50,deny,manual,109.90,,TRUE,TRUE,8715347911002,https://www.volare-kinderfietsen.nl/images/thumbnails/660/440/detailed/11/Cars_10_inch_-_2_tr-W1800.jpg,1,,FALSE,"Disney Cars Kinderfahrrad - Jungen - 10 Zoll - Rot - Fester Gang","<p>Für jedes Kind ist das Erlernen des Fahrradfahrens ein Fest mit dem Disney Cars 10-Zoll-Kinderfahrrad!</p><p>Sicherheit geht vor! Deshalb hat dieses coole Fahrrad ein Pedalsystem, damit das Kind vorwärts und rückwärts fahren kann, einen geschlossenen Kettenschutz und abnehmbare Seitenräder. Auch der Komfort spielt eine Rolle. Das schöne rote Cars-Fahrrad hat und luftlose Schaumstoffreifen, die nicht durchstochen werden können. Damit Sie so lange wie möglich Freude an Ihrem Fahrrad haben, sind Sattel und Lenker höhenverstellbar.&nbsp;</p><p>Offiziell lizenziertes Disney Cars-Produkt.</p>","Jungenfahrräder///Jungenfahrräder 10 Zoll",,,,,,,FALSE,,,,,,,,,,,,active
"VLRE-29 Volare Volare Black Cruiser Kinderfahrrad - Jungen - 18 Zoll - Schwarz - 95% zusammengebaut","Volare Volare Black Cruiser Kinderfahrrad - Jungen - 18 Zoll - Schwarz - 95% zusammengebaut","<p>Mit dem Volare Black Cruiser 18-Zoll-Kinderfahrrad ist der Weg zur Schule und zu Freunden für jedes Kind ein Fest!&nbsp;</p><p>Sicherheit geht vor! Deshalb hat dieses coole Fahrrad eine Handbremse, eine Rücktrittbremse und einen geschlossenen Kettenschutz. Außerdem hat das Fahrrad eine schöne Klingel und Reflektoren vorne, hinten und in den Rädern. Auch an den Komfort wurde gedacht. Das schöne schwarze Volare Fahrrad mit braunen Akzenten hat einen weichen Sattel, ein zeitloses Design und einen einzigartigen Rahmen, der einiges aushält. Damit Sie so lange wie möglich Freude an Ihrem Fahrrad haben, sind Sattel und Lenker höhenverstellbar. Kurzum: ein hochwertiges Fahrrad, an dem Ihr Kind jahrelang Freude haben wird!</p><p>Der 18-Zoll Volare Black Cruiser ist zu 95 % zusammengebaut und daher besonders einfach zu montieren - welch ein Luxus!</p>","Volare","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Jungenfahrräder///Jungenfahrräder 18 Zoll ","Jungenfahrräder///Jungenfahrräder 18 Zoll ",TRUE,,,,,,,"VLRE-29",,shopify,50,deny,manual,239.90,,TRUE,TRUE,8715347318023,https://www.volare-kinderfietsen.nl/images/thumbnails/660/440/detailed/1/31802-2-W1800_trans.jpg,1,,FALSE,"Volare Black Cruiser Kinderfahrrad - Jungen - 18 Zoll - Schwarz - 95% zusammengebaut","<p>Mit dem Volare Black Cruiser 18-Zoll-Kinderfahrrad ist der Weg zur Schule und zu Freunden für jedes Kind ein Fest!&nbsp;</p><p>Sicherheit geht vor! Deshalb hat dieses coole Fahrrad eine Handbremse, eine Rücktrittbremse und einen geschlossenen Kettenschutz. Außerdem hat das Fahrrad eine schöne Klingel und Reflektoren vorne, hinten und in den Rädern. Auch an den Komfort wurde gedacht. Das schöne schwarze Volare Fahrrad mit braunen Akzenten hat einen weichen Sattel, ein zeitloses Design und einen einzigartigen Rahmen, der einiges aushält. Damit Sie so lange wie möglich Freude an Ihrem Fahrrad haben, sind Sattel und Lenker höhenverstellbar. Kurzum: ein hochwertiges Fahrrad, an dem Ihr Kind jahrelang Freude haben wird!</p><p>Der 18-Zoll Volare Black Cruiser ist zu 95 % zusammengebaut und daher besonders einfach zu montieren - welch ein Luxus!</p>","Jungenfahrräder///Jungenfahrräder 18 Zoll ",,,,,,,FALSE,,,,,,,,,,,,active
"VLRE-83 E&L Sports E&L Sports - Torwarthandschuhe - Kinder - Assorted / Random colors","E&L Sports E&L Sports - Torwarthandschuhe - Kinder - Assorted / Random colors","<p>E&amp;L Sports - Torwarthandschuhe - Kinder - Assorted / Random colors</p>","E&L Sports","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Sport","Sport",TRUE,,,,,,,"VLRE-83",,shopify,8,deny,manual,15.45,,TRUE,TRUE,8715347000256,https://www.volare-kinderfietsen.nl/images/thumbnails/660/440/detailed/1/25.jpg,1,,FALSE,"E&L Sports - Torwarthandschuhe - Kinder - Assorted / Random colors","<p>E&amp;L Sports - Torwarthandschuhe - Kinder - Assorted / Random colors</p>","Sport",,,,,,,FALSE,,,,,,,,,,,,active
"VLRE-84 Volare Volare Black Cruiser Kinderfahrrad - Jungen - 14 Zoll - Schwarz - 95% zusammengebaut","Volare Volare Black Cruiser Kinderfahrrad - Jungen - 14 Zoll - Schwarz - 95% zusammengebaut","<p>Mit dem Volare Black Cruiser 14-Zoll-Kinderfahrrad wird das Fahrradfahren lernen für jedes Kind zum Fest!&nbsp;</p><p>Sicherheit geht vor! Deshalb hat dieses coole Fahrrad eine Handbremse und eine Rücktrittbremse, einen geschlossenen Kettenschutz und abnehmbare Stützräder. Außerdem hat das Fahrrad eine schöne Klingel. Auch an den Komfort wurde gedacht. Das schöne schwarze Volare Fahrrad mit braunen Akzenten hat einen weichen Sattel, ein zeitloses Design und einen einzigartigen Rahmen, der einiges aushält. Damit Sie so lange wie möglich Freude an Ihrem Fahrrad haben, sind Sattel und Lenker höhenverstellbar. Kurzum: ein hochwertiges Fahrrad, an dem Ihr Kind jahrelang Freude haben wird!</p><p>Der Volare 14-Zoll Black Cruiser ist zu 95 % zusammengebaut und daher besonders einfach zu montieren - welch ein Luxus!</p>","Volare","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Jungenfahrräder///Jungenfahrräder 14 Zoll ","Jungenfahrräder///Jungenfahrräder 14 Zoll ",TRUE,,,,,,,"VLRE-84",,shopify,50,deny,manual,204.95,,TRUE,TRUE,8715347414015,https://www.volare-kinderfietsen.nl/images/thumbnails/660/440/detailed/1/Volare_Black_Cruiser_14_inch_jongensfiets_2-W1800.jpg,1,,FALSE,"Volare Black Cruiser Kinderfahrrad - Jungen - 14 Zoll - Schwarz - 95% zusammengebaut","<p>Mit dem Volare Black Cruiser 14-Zoll-Kinderfahrrad wird das Fahrradfahren lernen für jedes Kind zum Fest!&nbsp;</p><p>Sicherheit geht vor! Deshalb hat dieses coole Fahrrad eine Handbremse und eine Rücktrittbremse, einen geschlossenen Kettenschutz und abnehmbare Stützräder. Außerdem hat das Fahrrad eine schöne Klingel. Auch an den Komfort wurde gedacht. Das schöne schwarze Volare Fahrrad mit braunen Akzenten hat einen weichen Sattel, ein zeitloses Design und einen einzigartigen Rahmen, der einiges aushält. Damit Sie so lange wie möglich Freude an Ihrem Fahrrad haben, sind Sattel und Lenker höhenverstellbar. Kurzum: ein hochwertiges Fahrrad, an dem Ihr Kind jahrelang Freude haben wird!</p><p>Der Volare 14-Zoll Black Cruiser ist zu 95 % zusammengebaut und daher besonders einfach zu montieren - welch ein Luxus!</p>","Jungenfahrräder///Jungenfahrräder 14 Zoll ",,,,,,,FALSE,,,,,,,,,,,,active
"VLRE-95 Volare Fahrradhelm Volare - Skate-Helm - No Limits - Weiss Grau Rot","Volare Fahrradhelm Volare - Skate-Helm - No Limits - Weiss Grau Rot","<p>Dieser No Limits Helm ist nicht nur funktionell, sondern auch super schön! Der Helm ist im Kopfumfang von 55 bis 57 Zentimeter verstellbar. Für kleine Kinder ist der Helm noch nicht geeignet. Das empfohlene Alter für das Tragen dieses Helms beträgt 12-16 Jahre. Der Helm ist nach strengsten Anforderungen zugelassen.</p>","Volare","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Zubehör und Teile///Fahrradhelme","Zubehör und Teile///Fahrradhelme",TRUE,,,,,,,"VLRE-95",,shopify,212,deny,manual,33.45,,TRUE,TRUE,8715347004797,https://www.volare-kinderfietsen.nl/images/thumbnails/660/440/detailed/1/479-W1800.jpg,1,,FALSE,"Fahrradhelm Volare - Skate-Helm - No Limits - Weiss Grau Rot","<p>Dieser No Limits Helm ist nicht nur funktionell, sondern auch super schön! Der Helm ist im Kopfumfang von 55 bis 57 Zentimeter verstellbar. Für kleine Kinder ist der Helm noch nicht geeignet. Das empfohlene Alter für das Tragen dieses Helms beträgt 12-16 Jahre. Der Helm ist nach strengsten Anforderungen zugelassen.</p>","Zubehör und Teile///Fahrradhelme",,,,,,,FALSE,,,,,,,,,,,,active
"VLRE-113 Volare Volare Blue Cruiser Kinderfahrrad - Jungen - 14 Zoll - Blau - 95% zusammengebaut","Volare Volare Blue Cruiser Kinderfahrrad - Jungen - 14 Zoll - Blau - 95% zusammengebaut","<p>Mit dem Volare Blue Cruiser 14-Zoll-Kinderfahrrad wird das Fahrradfahren lernen für jedes Kind zum Fest!&nbsp;</p><p>Sicherheit geht vor! Deshalb hat dieses coole Fahrrad eine Handbremse und eine Rücktrittbremse, einen geschlossenen Kettenschutz und abnehmbare Stützräder. Außerdem hat das Fahrrad eine schöne Klingel. Auch an den Komfort wurde gedacht. Das schöne blaue Volare Fahrrad mit braunen Akzenten hat einen weichen Sattel, ein zeitloses Design und einen einzigartigen Rahmen, der einiges aushält. Damit Sie so lange wie möglich Freude an Ihrem Fahrrad haben, sind Sattel und Lenker höhenverstellbar. Kurzum: ein hochwertiges Fahrrad, an dem Ihr Kind jahrelang Freude haben wird!</p><p>Der Volare 14-Zoll Blue Cruiser ist zu 95 % zusammengebaut und daher besonders einfach zu montieren - was für ein Luxus!</p>","Volare","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Jungenfahrräder///Jungenfahrräder 14 Zoll ","Jungenfahrräder///Jungenfahrräder 14 Zoll ",TRUE,,,,,,,"VLRE-113",,shopify,50,deny,manual,209.90,,TRUE,TRUE,8715347514012,https://www.volare-kinderfietsen.nl/images/thumbnails/660/440/detailed/1/Yipeeh_Blue_Cruiser_14_inch_jongensfiets_3-W1800_trans.jpg,1,,FALSE,"Volare Blue Cruiser Kinderfahrrad - Jungen - 14 Zoll - Blau - 95% zusammengebaut","<p>Mit dem Volare Blue Cruiser 14-Zoll-Kinderfahrrad wird das Fahrradfahren lernen für jedes Kind zum Fest!&nbsp;</p><p>Sicherheit geht vor! Deshalb hat dieses coole Fahrrad eine Handbremse und eine Rücktrittbremse, einen geschlossenen Kettenschutz und abnehmbare Stützräder. Außerdem hat das Fahrrad eine schöne Klingel. Auch an den Komfort wurde gedacht. Das schöne blaue Volare Fahrrad mit braunen Akzenten hat einen weichen Sattel, ein zeitloses Design und einen einzigartigen Rahmen, der einiges aushält. Damit Sie so lange wie möglich Freude an Ihrem Fahrrad haben, sind Sattel und Lenker höhenverstellbar. Kurzum: ein hochwertiges Fahrrad, an dem Ihr Kind jahrelang Freude haben wird!</p><p>Der Volare 14-Zoll Blue Cruiser ist zu 95 % zusammengebaut und daher besonders einfach zu montieren - was für ein Luxus!</p>","Jungenfahrräder///Jungenfahrräder 14 Zoll ",,,,,,,FALSE,,,,,,,,,,,,active
"VLRE-133 Volare Volare Fahrradpedale - 2 Stück - Schwarz - für 16 Zoll Kinderfahrräder - Pedale","Volare Volare Fahrradpedale - 2 Stück - Schwarz - für 16 Zoll Kinderfahrräder - Pedale","<p>Pedalsatz Large mit 1/2'' Achse (1 Stück Kurbelarm-Set), nicht für 3-teilige Kurbelgarnitur! Passend für die Marken Volare/Yipeeh/Corvino/Mulino/Kanzone</p>","Volare","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Zubehör und Teile///Fahrradteile///Pedale","Zubehör und Teile///Fahrradteile///Pedale",TRUE,,,,,,,"VLRE-133",,shopify,17,deny,manual,16.45,,TRUE,TRUE,8715347006517,https://www.volare-kinderfietsen.nl/images/thumbnails/660/440/detailed/37/651_TR.jpg,1,,FALSE,"Volare Fahrradpedale - 2 Stück - Schwarz - für 16 Zoll Kinderfahrräder - Pedale","<p>Pedalsatz Large mit 1/2'' Achse (1 Stück Kurbelarm-Set), nicht für 3-teilige Kurbelgarnitur! Passend für die Marken Volare/Yipeeh/Corvino/Mulino/Kanzone</p>","Zubehör und Teile///Fahrradteile///Pedale",,,,,,,FALSE,,,,,,,,,,,,active
"VLRE-134 Volare Binnenband 12 inch","Volare Binnenband 12 inch","Binnenband voor 12 inch bandjes","Volare","Sporting Goods > Outdoor Recreation > Cycling > Bicycles","Zubehör und Teile///Fahrradteile///Reifen","Zubehör und Teile///Fahrradteile///Reifen",TRUE,,,,,,,"VLRE-134",,shopify,50,deny,manual,14.45,,TRUE,TRUE,8715347006524,https://www.volare-kinderfietsen.nl/images/thumbnails/660/440/detailed/2/652_TR.jpg,1,,FALSE,"Binnenband 12 inch","Binnenband voor 12 inch bandjes","Zubehör und Teile///Fahrradteile///Reifen",,,,,,,FALSE,,,,,,,,,,,,active
